Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Joe Burrow*,28,4,17,"460 for 652, 4,918 yards, 43 td, 9 int, & 42 rushes for 201 yards and 2 td",,Starters_1,CIN,2024,2025-08-15 19:01:25
RB,Chase Brown,24,1,10,"229 rushes for 990 yards, 7 td, & 54 catches for 360 yards and 4 td",,Starters_1,CIN,2024,2025-08-15 19:01:25
WR,Ja'Marr Chase*+,24,3,16,"127 catches for 1,708 yards, 17 td, & 3 rushes for 32 yards and 0 td",,Starters_1,CIN,2024,2025-08-15 19:01:25
WR,Tee Higgins,25,4,9,"73 catches for 911 yards, 10 td",,Starters_1,CIN,2024,2025-08-15 19:01:25
TE,Cam Grandy,24,Rook,6,"5 catches for 28 yards, 0 td",,Starters_1,CIN,2024,2025-08-15 19:01:25
TE,Drew Sample,28,5,15,"20 catches for 109 yards, 1 td, & 1 rush for -4 yards and 0 td",,Starters_1,CIN,2024,2025-08-15 19:01:25
LT,Orlando Brown Jr.,28,6,11,,,Starters_1,CIN,2024,2025-08-15 19:01:25
LG,Cordell Volson,26,2,15,,,Starters_1,CIN,2024,2025-08-15 19:01:25
C,Ted Karras,31,8,17,,,Starters_1,CIN,2024,2025-08-15 19:01:25
RG,Alex Cappa,29,6,17,,,Starters_1,CIN,2024,2025-08-15 19:01:25
RT,Amarius Mims,22,Rook,13,,,Starters_1,CIN,2024,2025-08-15 19:01:25
LDE,Sam Hubbard,29,6,14,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
LDT,Kris Jenkins,23,Rook,9,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
RDT,B.J. Hill,29,6,15,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
RDE,Trey Hendrickson*+,30,7,17,"17.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
LLB,Logan Wilson,28,4,11,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
MLB,Germaine Pratt,28,5,17,"0.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
RLB,Akeem Davis-Gaither,27,4,7,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
LCB,Cam Taylor-Britt,25,2,17,"0.5 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
RCB,Josh Newton,24,Rook,6,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
SS,Geno Stone,25,4,17,"0.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
FS,Vonn Bell,30,8,11,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CIN,2024,2025-08-15 19:01:25
