Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
CLE,2009,QB,Brady Quinn,25,2,9,"136 for 256, 1,339 yards, 8 td, 7 int, & 20 rushes for 98 yards and 1 td",,Starters_1
CLE,2009,RB,Jamal Lewis,30,9,8,"143 rushes for 500 yards, 0 td, & 8 catches for 88 yards and 0 td",,Starters_1
CLE,2009,FB,Lawrence Vickers,26,3,9,"0 rushes for yards, 0 td, & 8 catches for 27 yards and 1 td",,Starters_1
CLE,2009,WR,Josh Cribbs*+,26,4,12,"20 catches for 135 yards, 1 td, & 55 rushes for 381 yards and 1 td",,Starters_1
CLE,2009,WR,Mohamed Massaquoi,23,Rook,11,"34 catches for 624 yards, 3 td, & 1 rush for -3 yards and 0 td",,Starters_1
CLE,2009,TE,Robert Royal,30,6,11,"11 catches for 134 yards, 1 td",,Starters_1
CLE,2009,LT,Joe Thomas*+,25,2,16,,,Starters_1
CLE,2009,LG,Eric Steinbach,29,6,16,,,Starters_1
CLE,2009,C,Alex Mack,24,Rook,16,,,Starters_1
CLE,2009,RG,Floyd Womack,31,8,9,,,Starters_1
CLE,2009,RT,John St. Clair,32,7,14,1 fumble recovered,,Starters_1
CLE,2009,LDE,Kenyon Coleman,30,7,13,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CLE,2009,NT,Shaun Rogers,30,8,11,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CLE,2009,RDE,Robaire Smith,32,9,15,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CLE,2009,LOLB,Kamerion Wimbley,26,3,15,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CLE,2009,LILB,David Bowens,32,10,15,"5.5 sacks, 1 interception, 1 fumble recovered",,Starters_1
CLE,2009,RILB,Eric Barton,32,10,8,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CLE,2009,ROLB,Matt Roth,27,4,6,"4.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CLE,2009,LCB,Eric Wright,24,2,16,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1
CLE,2009,RCB,Brandon McDonald,24,2,10,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CLE,2009,SS,Brodney Pool,25,4,10,"1.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1
CLE,2009,FS,Abram Elam,28,3,16,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
