Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Josh McCown,36,13,8,"186 for 292, 2,109 yards, 12 td, 4 int, & 20 rushes for 98 yards and 1 td",,Starters_1,CLE,2015,2025-08-15 19:02:14
RB,Isaiah Crowell,22,1,9,"185 rushes for 706 yards, 4 td, & 19 catches for 182 yards and 1 td",,Starters_1,CLE,2015,2025-08-15 19:02:14
WR,Travis Benjamin,26,3,15,"68 catches for 966 yards, 5 td, & 4 rushes for 12 yards and 0 td",,Starters_1,CLE,2015,2025-08-15 19:02:14
WR,Andrew Hawkins,29,4,8,"27 catches for 276 yards, 0 td",,Starters_1,CLE,2015,2025-08-15 19:02:14
TE,Gary Barnidge*,30,7,13,"79 catches for 1,043 yards, 9 td",,Starters_1,CLE,2015,2025-08-15 19:02:14
TE,Jim Dray,29,5,10,"6 catches for 61 yards, 0 td",,Starters_1,CLE,2015,2025-08-15 19:02:14
LT,Joe Thomas*+,31,8,16,1 fumble recovered,,Starters_1,CLE,2015,2025-08-15 19:02:14
LG,Joel Bitonio,24,1,10,,,Starters_1,CLE,2015,2025-08-15 19:02:14
C,Alex Mack*,30,6,16,,,Starters_1,CLE,2015,2025-08-15 19:02:14
RG,John Greco,30,7,14,,,Starters_1,CLE,2015,2025-08-15 19:02:14
RT,Mitchell Schwartz,26,3,16,2 fumbles recovered,,Starters_1,CLE,2015,2025-08-15 19:02:14
LDE,Desmond Bryant,30,6,14,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
LDT,Randy Starks,32,11,15,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
NT,Danny Shelton,22,Rook,15,,,Starters_1,CLE,2015,2025-08-15 19:02:14
LOLB,Paul Kruger,29,6,15,"2.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
LILB,Karlos Dansby,34,11,16,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
RILB,Craig Robertson,27,3,9,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
ROLB,Nate Orchard,22,Rook,11,"3.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
LCB,Pierre Desir,25,1,6,,,Starters_1,CLE,2015,2025-08-15 19:02:14
RCB,Tramon Williams,32,8,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
SS,Donte Whitner,30,9,14,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
FS,Tashaun Gipson,25,3,13,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CLE,2015,2025-08-15 19:02:14
