Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
CLT,2004,QB,Peyton Manning*+,28,6,16,"336 for 497, 4,557 yards, 49 td, 10 int, & 25 rushes for 38 yards and 0 td",,Starters_1
CLT,2004,RB,Edgerrin James*,26,5,16,"334 rushes for 1,548 yards, 9 td, & 51 catches for 483 yards and 0 td",,Starters_1
CLT,2004,WR,Marvin Harrison*,32,8,16,"86 catches for 1,113 yards, 15 td",,Starters_1
CLT,2004,WR,Reggie Wayne,26,3,16,"77 catches for 1,210 yards, 12 td, & 1 rush for -4 yards and 0 td",,Starters_1
CLT,2004,TE,Dallas Clark,25,1,13,"25 catches for 423 yards, 5 td",,Starters_1
CLT,2004,TE,Marcus Pollard,32,9,13,"29 catches for 309 yards, 6 td",,Starters_1
CLT,2004,LT,Tarik Glenn*,28,7,16,,,Starters_1
CLT,2004,LG,Rick DeMulling,27,3,11,,,Starters_1
CLT,2004,C,Jeff Saturday,29,5,14,1 fumble recovered,,Starters_1
CLT,2004,RG,Jake Scott,23,Rook,9,1 fumble recovered,,Starters_1
CLT,2004,RT,Ryan Diem,25,3,16,,,Starters_1
CLT,2004,LDE,Raheem Brock,26,2,16,"6.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
CLT,2004,LDT,Montae Reagor,27,5,16,"5.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CLT,2004,RDT,Josh Williams,28,4,15,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
CLT,2004,RDE,Dwight Freeney*+,24,2,16,"16.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CLT,2004,LLB,David Thornton,26,2,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CLT,2004,MLB,Rob Morris,29,4,14,"3.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CLT,2004,RLB,Cato June,25,1,16,"0.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1
CLT,2004,LCB,Nick Harper,30,3,14,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
CLT,2004,RCB,Jason David,22,Rook,11,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1
CLT,2004,SS,Mike Doss,23,1,9,"1.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
CLT,2004,FS,Idrees Bashir,26,3,13,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
