Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
CRD,1995,QB,Dave Krieg,37,15,16,"304 for 521, 3,554 yards, 16 td, 21 int, & 19 rushes for 29 yards and 0 td",,Starters_1
CRD,1995,RB,Garrison Hearst,24,2,15,"284 rushes for 1,070 yards, 1 td, & 29 catches for 243 yards and 1 td",,Starters_1
CRD,1995,FB,Larry Centers*,27,5,10,"78 rushes for 254 yards, 2 td, & 101 catches for 962 yards and 2 td",,Starters_1
CRD,1995,WR,Rob Moore,27,5,15,"63 catches for 907 yards, 5 td",,Starters_1
CRD,1995,WR,Frank Sanders,22,Rook,15,"52 catches for 883 yards, 2 td, & 1 rush for 1 yards and 0 td",,Starters_1
CRD,1995,TE,Wendall Gaines,23,Rook,11,"14 catches for 117 yards, 2 td",,Starters_1
CRD,1995,LT,Ernest Dye,24,2,6,,,Starters_1
CRD,1995,LG,Duval Love,32,10,16,1 fumble recovered,,Starters_1
CRD,1995,C,Ed Cunningham,26,3,8,,,Starters_1
CRD,1995,RG,Anthony Redmon,24,1,9,,,Starters_1
CRD,1995,RT,Larry Tharpe,25,3,16,1 fumble recovered,,Starters_1
CRD,1995,LDE,Michael Bankston,25,3,16,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CRD,1995,LDT,Eric Swann*,25,4,12,"8.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
CRD,1995,RDT,Bernard Wilson,25,2,14,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CRD,1995,RDE,Clyde Simmons,31,9,16,"11.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
CRD,1995,LLB,Seth Joyner,31,9,16,"1.0 sacks, 3 interceptions, 3 fumbles recovered",,Starters_1
CRD,1995,MLB,Eric Hill,29,6,14,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CRD,1995,RLB,Jamir Miller,22,1,9,"1.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
CRD,1995,LCB,Aeneas Williams*+,27,4,16,"0.0 sacks, 6 interceptions, 3 fumbles recovered",,Starters_1
CRD,1995,RCB,Lance Brown,23,Rook,5,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CRD,1995,SS,Lorenzo Lynch,32,8,11,"1.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
CRD,1995,FS,Brent Alexander,24,1,13,"0.5 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
