Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Kyler Murray*,23,1,16,"375 for 558, 3,971 yards, 26 td, 12 int, & 133 rushes for 819 yards and 11 td",,Starters_1,CRD,2020,2025-08-15 18:48:49
RB,Kenyan Drake,26,4,13,"239 rushes for 955 yards, 10 td, & 25 catches for 137 yards and 0 td",,Starters_1,CRD,2020,2025-08-15 18:48:49
WR,Larry Fitzgerald,37,16,13,"54 catches for 409 yards, 1 td",,Starters_1,CRD,2020,2025-08-15 18:48:49
WR,DeAndre Hopkins*,28,7,16,"115 catches for 1,407 yards, 6 td, & 1 rush for 1 yards and 0 td",,Starters_1,CRD,2020,2025-08-15 18:48:49
WR,Christian Kirk,24,2,10,"48 catches for 621 yards, 6 td, & 2 rushes for 3 yards and 0 td",,Starters_1,CRD,2020,2025-08-15 18:48:49
TE,Maxx Williams,26,5,8,"8 catches for 102 yards, 1 td",,Starters_1,CRD,2020,2025-08-15 18:48:49
LT,D.J. Humphries,27,4,16,,,Starters_1,CRD,2020,2025-08-15 18:48:49
LG,Justin Pugh,30,7,15,,,Starters_1,CRD,2020,2025-08-15 18:48:49
C,Mason Cole,24,2,14,1 fumble recovered,,Starters_1,CRD,2020,2025-08-15 18:48:49
RG,J.R. Sweezy,31,8,10,,,Starters_1,CRD,2020,2025-08-15 18:48:49
RT,Kelvin Beachum,31,8,16,1 fumble recovered,,Starters_1,CRD,2020,2025-08-15 18:48:49
LDT,Zach Allen,23,1,7,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
NT,Corey Peters,32,10,9,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
RDT,Jordan Phillips,28,5,9,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
LOLB,Haason Reddick,26,3,11,"12.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
LILB,De'Vondre Campbell,27,4,16,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
RILB,Jordan Hicks,28,5,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
ROLB,Markus Golden,29,5,8,"3.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
LCB,Patrick Peterson,30,9,16,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
RCB,Dre Kirkpatrick,31,8,11,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
SS,Budda Baker*+,24,3,15,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CRD,2020,2025-08-15 18:48:49
FS,Jalen Thompson,22,1,4,,,Starters_1,CRD,2020,2025-08-15 18:48:49
