Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
DAL,2007,QB,Tony Romo*,27,3,16,"335 for 520, 4,211 yards, 36 td, 19 int, & 31 rushes for 129 yards and 2 td",,Starters_1
DAL,2007,RB,Julius Jones,26,3,16,"164 rushes for 588 yards, 2 td, & 23 catches for 203 yards and 0 td",,Starters_1
DAL,2007,FB,Oliver Hoyte,23,1,9,"0 rushes for yards, 0 td, & 1 catch for 2 yards and 0 td",,Starters_1
DAL,2007,WR,Patrick Crayton,28,3,13,"50 catches for 697 yards, 7 td",,Starters_1
DAL,2007,WR,Terrell Owens*+,34,11,15,"81 catches for 1,355 yards, 15 td, & 1 rush for 5 yards and 0 td",,Starters_1
DAL,2007,TE,Jason Witten*+,25,4,16,"96 catches for 1,145 yards, 7 td",,Starters_1
DAL,2007,LT,Flozell Adams*,32,9,16,2 fumbles recovered,,Starters_1
DAL,2007,LG,Kyle Kosier,29,5,16,2 fumbles recovered,,Starters_1
DAL,2007,C,Andre Gurode*,29,5,14,1 fumble recovered,,Starters_1
DAL,2007,RG,Leonard Davis*,29,6,16,,,Starters_1
DAL,2007,RT,Marc Colombo,29,5,16,1 fumble recovered,,Starters_1
DAL,2007,LDE,Marcus Spears,24,2,16,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
DAL,2007,NT,Jay Ratliff,26,2,14,"3.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
DAL,2007,RDE,Chris Canty,25,2,16,"3.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
DAL,2007,LOLB,Greg Ellis*,32,9,10,"12.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
DAL,2007,LILB,Bradie James,26,4,16,"3.0 sacks, 0 interceptions, 3 fumbles recovered",,Starters_1
DAL,2007,RILB,Akin Ayodele,28,5,14,,,Starters_1
DAL,2007,ROLB,DeMarcus Ware*+,25,2,16,"14.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
DAL,2007,LCB,Jacques Reeves,25,3,13,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
DAL,2007,RCB,Terence Newman*,29,4,11,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1
DAL,2007,SS,Roy Williams*,27,5,13,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
DAL,2007,FS,Ken Hamlin*,26,4,16,"0.0 sacks, 5 interceptions, 0 fumbles recovered",,Starters_1
