Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Tony Romo*,34,10,15,"304 for 435, 3,705 yards, 34 td, 9 int, & 26 rushes for 61 yards and 0 td",,Starters_1,DAL,2014,2025-08-15 19:06:13
RB,DeMarco Murray*+,26,3,16,"392 rushes for 1,845 yards, 13 td, & 57 catches for 416 yards and 0 td",,Starters_1,DAL,2014,2025-08-15 19:06:13
WR,Dez Bryant*+,26,4,16,"88 catches for 1,320 yards, 16 td",,Starters_1,DAL,2014,2025-08-15 19:06:13
WR,Terrance Williams,25,1,16,"37 catches for 621 yards, 8 td",,Starters_1,DAL,2014,2025-08-15 19:06:13
TE,James Hanna,25,2,12,"4 catches for 48 yards, 0 td",,Starters_1,DAL,2014,2025-08-15 19:06:13
TE,Jason Witten*,32,11,16,"64 catches for 703 yards, 5 td",,Starters_1,DAL,2014,2025-08-15 19:06:13
LT,Tyron Smith*+,24,3,16,,,Starters_1,DAL,2014,2025-08-15 19:06:13
LG,Ronald Leary,25,1,15,,,Starters_1,DAL,2014,2025-08-15 19:06:13
C,Travis Frederick*,23,1,16,,,Starters_1,DAL,2014,2025-08-15 19:06:13
RG,Zack Martin*+,24,Rook,16,,,Starters_1,DAL,2014,2025-08-15 19:06:13
RT,Doug Free,30,7,11,,,Starters_1,DAL,2014,2025-08-15 19:06:13
LDE,George Selvie,27,4,13,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
LDT,Nick Hayden,28,6,16,,,Starters_1,DAL,2014,2025-08-15 19:06:13
RDT,Tyrone Crawford,25,2,15,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
RDE,Jeremy Mincey,31,7,16,"6.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
LLB,Bruce Carter,26,3,8,"1.0 sacks, 5 interceptions, 0 fumbles recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
MLB,Rolando McClain,25,4,12,"1.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
RLB,Anthony Hitchens,22,Rook,11,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
LCB,Brandon Carr,28,6,16,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
RCB,Orlando Scandrick,27,6,14,"1.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
SS,Barry Church,26,4,16,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
FS,J.J. Wilcox,23,1,16,"0.0 sacks, 3 interceptions, 2 fumbles recovered",,Starters_1,DAL,2014,2025-08-15 19:06:13
