Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
DEN,1982,QB,Steve DeBerg,28,4,5,"131 for 223, 1,405 yards, 7 td, 11 int, & 8 rushes for 27 yards and 1 td",,Starters_1
DEN,1982,RB,Dave Preston,27,4,5,"19 rushes for 81 yards, 0 td, & 14 catches for 134 yards and 0 td",,Starters_1
DEN,1982,FB,Rick Parros,24,1,9,"77 rushes for 277 yards, 1 td, & 37 catches for 259 yards and 2 td",,Starters_1
DEN,1982,WR,Rick Upchurch*+,30,7,8,"26 catches for 407 yards, 3 td, & 2 rushes for -10 yards and 0 td",,Starters_1
DEN,1982,WR,Steve Watson,25,3,9,"36 catches for 555 yards, 2 td, & 1 rush for -4 yards and 0 td",,Starters_1
DEN,1982,TE,Riley Odoms,32,10,6,"8 catches for 82 yards, 0 td",,Starters_1
DEN,1982,LT,Claudie Minor,31,8,7,,,Starters_1
DEN,1982,LG,Tom Glassic,28,6,9,1 fumble recovered,,Starters_1
DEN,1982,C,Bill Bryan,27,5,9,,,Starters_1
DEN,1982,RG,Dave Studdard,27,3,9,,,Starters_1
DEN,1982,RT,Ken Lanier,23,1,9,1 fumble recovered,,Starters_1
DEN,1982,LDE,Barney Chavous,31,9,9,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
DEN,1982,NT,Rubin Carter,30,7,6,,,Starters_1
DEN,1982,RDE,Rulon Jones,24,2,9,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
DEN,1982,LOLB,Jim Ryan,25,3,9,,,Starters_1
DEN,1982,LILB,Larry Evans,29,6,9,,,Starters_1
DEN,1982,RILB,Randy Gradishar*,30,8,9,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
DEN,1982,ROLB,Tom Jackson,31,9,9,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
DEN,1982,LCB,Louis Wright,29,7,9,"1.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
DEN,1982,RCB,Aaron Kyle,28,6,9,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
DEN,1982,SS,Dennis Smith,23,1,8,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
DEN,1982,FS,Mike Harden,23,2,4,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
