Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Trevor Siemian,25,1,14,"289 for 486, 3,401 yards, 18 td, 10 int, & 28 rushes for 57 yards and 0 td",,Starters_1,DEN,2016,2025-08-15 19:08:33
RB,C.J. Anderson,25,3,7,"110 rushes for 437 yards, 4 td, & 16 catches for 128 yards and 1 td",,Starters_1,DEN,2016,2025-08-15 19:08:33
WR,Jordan Norwood,30,7,6,"21 catches for 232 yards, 1 td, & 1 rush for yards and 0 td",,Starters_1,DEN,2016,2025-08-15 19:08:33
WR,Emmanuel Sanders*,29,6,16,"79 catches for 1,032 yards, 5 td, & 1 rush for 4 yards and 0 td",,Starters_1,DEN,2016,2025-08-15 19:08:33
WR,Demaryius Thomas*,29,6,16,"90 catches for 1,083 yards, 5 td",,Starters_1,DEN,2016,2025-08-15 19:08:33
TE,Virgil Green,28,5,11,"22 catches for 237 yards, 1 td",,Starters_1,DEN,2016,2025-08-15 19:08:33
LT,Russell Okung,28,6,16,1 fumble recovered,,Starters_1,DEN,2016,2025-08-15 19:08:33
LG,Max Garcia,25,1,16,,,Starters_1,DEN,2016,2025-08-15 19:08:33
C,Matt Paradis,27,1,16,1 fumble recovered,,Starters_1,DEN,2016,2025-08-15 19:08:33
RG,Michael Schofield,26,1,16,,,Starters_1,DEN,2016,2025-08-15 19:08:33
RT,Donald Stephenson,28,4,12,,,Starters_1,DEN,2016,2025-08-15 19:08:33
LDE,Derek Wolfe,26,4,14,"5.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
NT,Sylvester Williams,28,3,16,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
RDE,Jared Crick,27,4,15,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
LOLB,Von Miller*+,27,5,16,"13.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
LILB,Shane Ray,23,1,8,"8.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
RILB,Brandon Marshall,27,4,11,,,Starters_1,DEN,2016,2025-08-15 19:08:33
ROLB,Todd Davis,24,2,15,"0.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
LCB,Aqib Talib*+,30,8,13,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
RCB,Chris Harris Jr.*+,27,5,15,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
SS,T.J. Ward,30,6,14,"1.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
FS,Darian Stewart*,28,6,16,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1,DEN,2016,2025-08-15 19:08:33
