Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
DET,1985,QB,Eric Hipple,28,5,15,"223 for 406, 2,952 yards, 17 td, 18 int, & 32 rushes for 89 yards and 2 td",,Starters_1
DET,1985,RB,Wilbert Montgomery,31,8,6,"75 rushes for 251 yards, 0 td, & 7 catches for 55 yards and 0 td",,Starters_1
DET,1985,FB,James Jones,24,2,13,"244 rushes for 886 yards, 6 td, & 45 catches for 334 yards and 3 td",,Starters_1
DET,1985,WR,Mark Nichols,26,4,12,"36 catches for 592 yards, 4 td, & 1 rush for 15 yards and 0 td",,Starters_1
DET,1985,WR,Leonard Thompson,33,10,13,"51 catches for 736 yards, 5 td",,Starters_1
DET,1985,TE,David Lewis,24,1,15,"28 catches for 354 yards, 3 td",,Starters_1
DET,1985,LT,Lomas Brown,22,Rook,16,,,Starters_1
DET,1985,LG,Chris Dieterich,27,5,7,,,Starters_1
DET,1985,C,Steve Mott,24,2,16,1 fumble recovered,,Starters_1
DET,1985,RG,David Jones,24,1,8,1 fumble recovered,,Starters_1
DET,1985,RT,Keith Dorney,28,6,16,,,Starters_1
DET,1985,LDE,Eric Williams,23,1,12,"6.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
DET,1985,NT,Doug English,32,10,10,"2.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
DET,1985,RDE,William Gay,30,7,16,"7.5 sacks, 1 interception, 6 fumbles recovered",,Starters_1
DET,1985,LOLB,Jimmy Williams,25,3,16,"7.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
DET,1985,LILB,August Curley,25,2,14,,,Starters_1
DET,1985,RILB,Kurt Allerman,30,8,7,,,Starters_1
DET,1985,ROLB,Angelo King,27,4,9,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
DET,1985,LCB,Bobby Watkins,25,3,16,"0.0 sacks, 5 interceptions, 2 fumbles recovered",,Starters_1
DET,1985,RCB,Bruce McNorton,26,3,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
DET,1985,SS,Demetrious Johnson,24,2,16,"3.0 sacks, 3 interceptions, 5 fumbles recovered",,Starters_1
DET,1985,FS,William Graham,26,3,16,"1.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
