Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Matthew Stafford,23,2,16,"421 for 663, 5,038 yards, 41 td, 16 int, & 22 rushes for 78 yards and 0 td",,Starters_1,DET,2011,2025-08-15 19:09:54
RB,Jahvid Best,22,1,6,"84 rushes for 390 yards, 2 td, & 27 catches for 287 yards and 1 td",,Starters_1,DET,2011,2025-08-15 19:09:54
WR,Nate Burleson,30,8,11,"73 catches for 757 yards, 3 td, & 11 rushes for 85 yards and 0 td",,Starters_1,DET,2011,2025-08-15 19:09:54
WR,Calvin Johnson*+,26,4,16,"96 catches for 1,681 yards, 16 td, & 1 rush for 11 yards and 0 td",,Starters_1,DET,2011,2025-08-15 19:09:54
WR,Titus Young,22,Rook,9,"48 catches for 607 yards, 6 td, & 2 rushes for 15 yards and 0 td",,Starters_1,DET,2011,2025-08-15 19:09:54
TE,Brandon Pettigrew,26,2,16,"83 catches for 777 yards, 5 td",,Starters_1,DET,2011,2025-08-15 19:09:54
LT,Jeff Backus,34,10,16,1 fumble recovered,,Starters_1,DET,2011,2025-08-15 19:09:54
LG,Rob Sims,28,5,16,1 fumble recovered,,Starters_1,DET,2011,2025-08-15 19:09:54
C,Dominic Raiola,33,10,16,,,Starters_1,DET,2011,2025-08-15 19:09:54
RG,Stephen Peterman,29,6,16,,,Starters_1,DET,2011,2025-08-15 19:09:54
RT,Gosder Cherilus,27,3,15,,,Starters_1,DET,2011,2025-08-15 19:09:54
LDE,Cliff Avril,25,3,16,"11.0 sacks, 1 interception, 3 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
LDT,Ndamukong Suh,24,1,14,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
RDT,Corey Williams,31,7,15,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
RDE,Kyle Vanden Bosch,33,10,16,"8.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
LLB,Justin Durant,26,4,12,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
MLB,Stephen Tulloch,26,5,16,"3.0 sacks, 2 interceptions, 3 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
RLB,DeAndre Levy,24,2,16,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
LCB,Chris Houston,27,4,13,"0.0 sacks, 5 interceptions, 0 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
RCB,Eric Wright,26,4,16,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
SS,Amari Spievey,23,1,15,"1.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
FS,Louis Delmas,24,2,11,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DET,2011,2025-08-15 19:09:54
