Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
GNB,1986,QB,Randy Wright,25,2,16,"263 for 492, 3,247 yards, 17 td, 23 int, & 18 rushes for 41 yards and 1 td",,Starters_1
GNB,1986,RB,Kenneth Davis,24,Rook,6,"114 rushes for 519 yards, 0 td, & 21 catches for 142 yards and 1 td",,Starters_1
GNB,1986,FB,Paul Ott Carruth,25,1,12,"81 rushes for 308 yards, 2 td, & 24 catches for 134 yards and 2 td",,Starters_1
GNB,1986,WR,Phil Epps,28,4,12,"49 catches for 612 yards, 4 td, & 4 rushes for 18 yards and 0 td",,Starters_1
GNB,1986,WR,James Lofton,30,8,15,"64 catches for 840 yards, 4 td",,Starters_1
GNB,1986,TE,Dan Ross,29,7,10,"17 catches for 143 yards, 1 td",,Starters_1
GNB,1986,LT,Ken Ruettgers,24,1,16,1 fumble recovered,,Starters_1
GNB,1986,LG,Tom Neville,25,1,15,,,Starters_1
GNB,1986,C,Karl Swanke,29,6,8,,,Starters_1
GNB,1986,RG,Ron Hallstrom,27,4,16,,,Starters_1
GNB,1986,RT,Alan Veingrad,23,1,16,1 fumble recovered,,Starters_1
GNB,1986,LDE,Alphonso Carreker,24,2,16,"2.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
GNB,1986,NT,Charles Martin,27,2,11,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
GNB,1986,RDE,Robert Brown,26,4,16,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
GNB,1986,LOLB,Tim Harris,22,Rook,10,"8.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
GNB,1986,LILB,Randy Scott,27,5,15,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
GNB,1986,RILB,John Dorsey,26,2,9,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
GNB,1986,ROLB,Brian Noble,24,1,16,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
GNB,1986,LCB,Mark Lee,28,6,16,"0.0 sacks, 9 interceptions, 1 fumble recovered",,Starters_1
GNB,1986,RCB,Mossy Cade,25,1,16,"1.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1
GNB,1986,SS,Tiger Greene,24,1,10,"1.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
GNB,1986,FS,Ken Stills,23,1,10,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
