Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Aaron Rodgers*+,37,15,16,"372 for 526, 4,299 yards, 48 td, 5 int, & 38 rushes for 149 yards and 3 td",,Starters_1,GNB,2020,2025-08-15 19:13:07
RB,Aaron Jones*,26,3,14,"201 rushes for 1,104 yards, 9 td, & 47 catches for 355 yards and 2 td",,Starters_1,GNB,2020,2025-08-15 19:13:07
WR,Davante Adams*+,28,6,14,"115 catches for 1,374 yards, 18 td",,Starters_1,GNB,2020,2025-08-15 19:13:07
WR,Marquez Valdes-Scantling,26,2,12,"33 catches for 690 yards, 6 td, & 4 rushes for 13 yards and 0 td",,Starters_1,GNB,2020,2025-08-15 19:13:07
TE,Marcedes Lewis,36,14,15,"10 catches for 107 yards, 3 td",,Starters_1,GNB,2020,2025-08-15 19:13:07
TE,Robert Tonyan,26,2,8,"52 catches for 586 yards, 11 td",,Starters_1,GNB,2020,2025-08-15 19:13:07
LT,David Bakhtiari*+,29,7,12,,,Starters_1,GNB,2020,2025-08-15 19:13:07
LG,Elgton Jenkins*,25,1,16,,,Starters_1,GNB,2020,2025-08-15 19:13:07
C,Corey Linsley+,29,6,13,,,Starters_1,GNB,2020,2025-08-15 19:13:07
RG,Lucas Patrick,27,3,15,,,Starters_1,GNB,2020,2025-08-15 19:13:07
RT,Billy Turner,29,6,14,,,Starters_1,GNB,2020,2025-08-15 19:13:07
LDE,Dean Lowry,26,4,16,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
NT,Kenny Clark,25,4,13,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
RDE,Kingsley Keke,24,1,9,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
LOLB,Preston Smith,28,5,13,"4.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
LILB,Christian Kirksey,28,6,11,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
RILB,Krys Barnes,22,Rook,10,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
ROLB,Za'Darius Smith*,28,5,16,"12.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
LCB,Jaire Alexander*,23,2,15,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
RCB,Kevin King,25,3,11,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
SS,Adrian Amos,27,5,16,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
FS,Darnell Savage Jr.,23,1,15,"1.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,GNB,2020,2025-08-15 19:13:07
