Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,C.J. Stroud,23,1,17,"336 for 532, 3,727 yards, 20 td, 12 int, & 52 rushes for 233 yards and 0 td",,Starters_1,HTX,2024,2025-08-15 19:15:43
RB,Joe Mixon*,28,7,14,"245 rushes for 1,016 yards, 11 td, & 36 catches for 309 yards and 1 td",,Starters_1,HTX,2024,2025-08-15 19:15:43
WR,Nico Collins*,25,3,12,"68 catches for 1,006 yards, 7 td",,Starters_1,HTX,2024,2025-08-15 19:15:43
WR,Tank Dell,25,1,10,"51 catches for 667 yards, 3 td, & 9 rushes for 43 yards and 0 td",,Starters_1,HTX,2024,2025-08-15 19:15:43
TE,Dalton Schultz,28,6,13,"53 catches for 532 yards, 2 td",,Starters_1,HTX,2024,2025-08-15 19:15:43
TE,Cade Stover,24,Rook,9,"15 catches for 133 yards, 1 td",,Starters_1,HTX,2024,2025-08-15 19:15:43
LT,Laremy Tunsil*,30,8,17,,,Starters_1,HTX,2024,2025-08-15 19:15:43
LG,Kenyon Green,23,2,9,,,Starters_1,HTX,2024,2025-08-15 19:15:43
C,Jarrett Patterson,25,1,9,,,Starters_1,HTX,2024,2025-08-15 19:15:43
RG,Shaq Mason,31,9,15,,,Starters_1,HTX,2024,2025-08-15 19:15:43
RT,Tytus Howard,28,5,16,1 fumble recovered,,Starters_1,HTX,2024,2025-08-15 19:15:43
LDE,Will Anderson,23,1,14,"11.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
LDT,Folorunso Fatukasi,29,6,11,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
RDT,Tim Settle,27,6,11,"5.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
RDE,Danielle Hunter*,30,9,17,"12.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
LLB,Henry To'oTo'o,23,1,15,"1.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
MLB,Azeez Al-Shaair,27,5,11,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
LCB,Derek Stingley Jr.*+,23,2,17,"0.0 sacks, 5 interceptions, 0 fumbles recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
RCB,Kamari Lassiter,21,Rook,14,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
SS,Eric Murray,30,8,14,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
FS,Calen Bullock,21,Rook,13,"0.0 sacks, 5 interceptions, 1 fumble recovered",,Starters_1,HTX,2024,2025-08-15 19:15:43
DB,Jalen Pitre,25,2,12,,,Starters_1,HTX,2024,2025-08-15 19:15:43
