Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
JAX,2002,QB,Mark Brunell,32,8,15,"245 for 416, 2,788 yards, 17 td, 7 int, & 43 rushes for 207 yards and 0 td",,Starters_1
JAX,2002,RB,Fred Taylor,26,4,16,"287 rushes for 1,314 yards, 8 td, & 49 catches for 408 yards and 0 td",,Starters_1
JAX,2002,WR,Bobby Shaw,27,3,10,"44 catches for 525 yards, 1 td",,Starters_1
JAX,2002,WR,Jimmy Smith,33,10,16,"80 catches for 1,027 yards, 7 td, & 1 rush for 2 yards and 0 td",,Starters_1
JAX,2002,TE,Kyle Brady,30,7,16,"43 catches for 461 yards, 4 td",,Starters_1
JAX,2002,TE,Pete Mitchell,31,7,11,"25 catches for 246 yards, 2 td",,Starters_1
JAX,2002,LT,Mike Pearson,22,Rook,11,,,Starters_1
JAX,2002,LG,Brad Meester,25,2,16,1 fumble recovered,,Starters_1
JAX,2002,C,John Wade,27,4,16,,,Starters_1
JAX,2002,RG,Chris Naeole,28,5,16,,,Starters_1
JAX,2002,RT,Todd Fordham,29,5,9,,,Starters_1
JAX,2002,LDE,Marco Coleman,33,10,16,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
JAX,2002,LDT,Marcus Stroud,24,1,16,"6.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
JAX,2002,RDT,John Henderson,23,Rook,13,"6.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
JAX,2002,RDE,Rob Meier,25,2,7,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
JAX,2002,LLB,Danny Clark,25,2,16,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
JAX,2002,MLB,Wali Rainer,25,3,14,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
JAX,2002,RLB,T.J. Slaughter,25,2,11,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
JAX,2002,LCB,Fernando Bryant,25,3,16,"0.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1
JAX,2002,RCB,Jason Craft,26,3,16,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
JAX,2002,SS,Donovin Darius,27,4,14,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
JAX,2002,FS,Marlon McCree,25,1,16,"1.0 sacks, 6 interceptions, 0 fumbles recovered",,Starters_1
