Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Trevor Lawrence,22,Rook,17,"359 for 602, 3,641 yards, 12 td, 17 int, & 73 rushes for 334 yards and 2 td",,Starters_1,JAX,2021,2025-08-15 19:17:21
RB,James Robinson,23,1,13,"164 rushes for 767 yards, 8 td, & 31 catches for 222 yards and 0 td",,Starters_1,JAX,2021,2025-08-15 19:17:21
WR,Marvin Jones,31,9,16,"73 catches for 832 yards, 4 td",,Starters_1,JAX,2021,2025-08-15 19:17:21
WR,Laviska Shenault Jr.,23,1,10,"63 catches for 619 yards, 0 td, & 11 rushes for 41 yards and 0 td",,Starters_1,JAX,2021,2025-08-15 19:17:21
TE,Chris Manhertz,29,5,10,"6 catches for 71 yards, 1 td",,Starters_1,JAX,2021,2025-08-15 19:17:21
TE,James O'Shaughnessy,29,6,6,"24 catches for 244 yards, 0 td",,Starters_1,JAX,2021,2025-08-15 19:17:21
LT,Cam Robinson,26,4,14,,,Starters_1,JAX,2021,2025-08-15 19:17:21
LG,Andrew Norwell,30,7,17,,,Starters_1,JAX,2021,2025-08-15 19:17:21
C,Brandon Linder,29,7,9,,,Starters_1,JAX,2021,2025-08-15 19:17:21
RG,Ben Bartch,23,1,11,,,Starters_1,JAX,2021,2025-08-15 19:17:21
RT,Jawaan Taylor,24,2,17,,,Starters_1,JAX,2021,2025-08-15 19:17:21
LDE,Roy Robertson-Harris,28,4,13,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
NT,Malcom Brown,27,6,17,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
RDE,Dawuane Smoot,26,4,10,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
LOLB,Josh Hines-Allen,24,2,15,"7.5 sacks, 1 interception, 1 fumble recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
LILB,Damien Wilson,28,6,17,"3.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
RILB,Myles Jack,26,5,15,,,Starters_1,JAX,2021,2025-08-15 19:17:21
ROLB,K'Lavon Chaisson,22,1,8,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
LCB,Shaquill Griffin,26,4,14,,,Starters_1,JAX,2021,2025-08-15 19:17:21
RCB,Tyson Campbell,21,Rook,14,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
SS,Andrew Wingard,25,2,15,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,JAX,2021,2025-08-15 19:17:21
