Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
KAN,1994,QB,Joe Montana,38,15,14,"299 for 493, 3,283 yards, 16 td, 9 int, & 18 rushes for 17 yards and 0 td",,Starters_1
KAN,1994,RB,Marcus Allen,34,12,13,"189 rushes for 709 yards, 7 td, & 42 catches for 349 yards and 0 td",,Starters_1
KAN,1994,FB,Kimble Anders,28,3,13,"62 rushes for 231 yards, 2 td, & 67 catches for 525 yards and 1 td",,Starters_1
KAN,1994,WR,J.J. Birden,29,4,13,"48 catches for 637 yards, 4 td",,Starters_1
KAN,1994,WR,Willie Davis,27,3,13,"51 catches for 822 yards, 5 td",,Starters_1
KAN,1994,TE,Derrick Walker,27,4,11,"36 catches for 382 yards, 2 td",,Starters_1
KAN,1994,LT,John Alt,32,10,13,,,Starters_1
KAN,1994,LG,Dave Szott,27,4,16,,,Starters_1
KAN,1994,C,Tim Grunhard,26,4,16,,,Starters_1
KAN,1994,RG,Will Shields,23,1,16,1 fumble recovered,,Starters_1
KAN,1994,RT,Derrick Graham,27,4,11,,,Starters_1
KAN,1994,LDE,Neil Smith*,28,6,13,"11.5 sacks, 1 interception, 1 fumble recovered",,Starters_1
KAN,1994,LDT,Joe Phillips,31,8,16,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
KAN,1994,RDT,Dan Saleaumua,30,7,14,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
KAN,1994,RDE,Darren Mickell,24,2,13,"7.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
KAN,1994,LLB,George Jamison,32,7,12,"1.0 sacks, 0 interceptions, 3 fumbles recovered",,Starters_1
KAN,1994,MLB,Tracy Simien,27,5,15,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
KAN,1994,RLB,Derrick Thomas*,27,5,15,"11.0 sacks, 0 interceptions, 3 fumbles recovered",,Starters_1
KAN,1994,LCB,Mark Collins,30,8,13,"2.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1
KAN,1994,RCB,Dale Carter*,25,2,16,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
KAN,1994,SS,Dave Whitmore,27,4,10,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
KAN,1994,FS,William White,28,6,14,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
