Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Patrick Mahomes,29,7,16,"392 for 581, 3,928 yards, 26 td, 11 int, & 58 rushes for 307 yards and 2 td",,Starters_1,KAN,2024,2025-08-15 19:19:45
RB,Kareem Hunt,29,7,8,"200 rushes for 728 yards, 7 td, & 23 catches for 176 yards and 0 td",,Starters_1,KAN,2024,2025-08-15 19:19:45
WR,Justin Watson,28,6,7,"22 catches for 289 yards, 2 td",,Starters_1,KAN,2024,2025-08-15 19:19:45
WR,Xavier Worthy,21,Rook,13,"59 catches for 638 yards, 6 td, & 20 rushes for 104 yards and 3 td",,Starters_1,KAN,2024,2025-08-15 19:19:45
TE,Noah Gray,25,3,10,"40 catches for 437 yards, 5 td, & 1 rush for -4 yards and 0 td",,Starters_1,KAN,2024,2025-08-15 19:19:45
TE,Travis Kelce*,35,11,16,"97 catches for 823 yards, 3 td, & 1 rush for 1 yards and 0 td",,Starters_1,KAN,2024,2025-08-15 19:19:45
LT,Wanya Morris,24,1,11,,,Starters_1,KAN,2024,2025-08-15 19:19:45
LG,Joe Thuney*+,32,8,17,,,Starters_1,KAN,2024,2025-08-15 19:19:45
C,Creed Humphrey*+,25,3,17,,,Starters_1,KAN,2024,2025-08-15 19:19:45
RG,Trey Smith*,25,3,17,,,Starters_1,KAN,2024,2025-08-15 19:19:45
RT,Jawaan Taylor,27,5,16,,,Starters_1,KAN,2024,2025-08-15 19:19:45
LDE,George Karlaftis III,23,2,11,"8.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
LDT,Chris Jones*+,30,8,15,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
RDT,Tershawn Wharton,26,4,10,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
RDE,Michael Danna,27,4,12,"3.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
LLB,Nick Bolton,24,3,16,"3.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
MLB,Drue Tranquill,29,5,16,"2.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
RLB,Leo Chenal,24,2,14,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
LCB,Trent McDuffie,24,2,16,"0.5 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
RCB,Jaylen Watson,26,2,6,,,Starters_1,KAN,2024,2025-08-15 19:19:45
SS,Justin Reid,27,6,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
FS,Bryan Cook,25,2,17,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,KAN,2024,2025-08-15 19:19:45
