Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
MIA,2003,QB,Jay Fiedler,32,8,11,"179 for 314, 2,138 yards, 11 td, 13 int, & 34 rushes for 88 yards and 3 td",,Starters_1
MIA,2003,RB,Ricky Williams,26,4,16,"392 rushes for 1,372 yards, 9 td, & 50 catches for 351 yards and 1 td",,Starters_1
MIA,2003,FB,Rob Konrad,27,4,12,"4 rushes for 17 yards, 0 td, & 16 catches for 166 yards and 0 td",,Starters_1
MIA,2003,WR,Chris Chambers,25,2,16,"64 catches for 963 yards, 11 td, & 4 rushes for 30 yards and 0 td",,Starters_1
MIA,2003,WR,Derrius Thompson,26,4,12,"26 catches for 359 yards, 0 td",,Starters_1
MIA,2003,TE,Randy McMichael,24,1,16,"49 catches for 598 yards, 2 td",,Starters_1
MIA,2003,LT,Wade Smith,22,Rook,16,,,Starters_1
MIA,2003,LG,Jamie Nails,28,6,15,,,Starters_1
MIA,2003,C,Tim Ruddy,31,9,14,,,Starters_1
MIA,2003,RG,Todd Perry,33,10,15,,,Starters_1
MIA,2003,RT,Todd Wade,27,3,16,1 fumble recovered,,Starters_1
MIA,2003,LDE,Adewale Ogunleye*,26,2,16,"15.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
MIA,2003,LDT,Tim Bowens,30,9,13,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
MIA,2003,RDT,Larry Chester,28,5,15,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
MIA,2003,RDE,Jason Taylor,29,6,16,"13.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
MIA,2003,LLB,Junior Seau,34,13,15,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
MIA,2003,MLB,Zach Thomas*+,30,7,15,"1.0 sacks, 3 interceptions, 2 fumbles recovered",,Starters_1
MIA,2003,RLB,Morlon Greenwood,25,2,11,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
MIA,2003,LCB,Patrick Surtain*,27,5,15,"0.0 sacks, 7 interceptions, 0 fumbles recovered",,Starters_1
MIA,2003,RCB,Sam Madison,29,6,16,"0.0 sacks, 3 interceptions, 2 fumbles recovered",,Starters_1
MIA,2003,SS,Sammy Knight,28,6,16,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
MIA,2003,FS,Brock Marion*,33,10,16,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
