Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Matt Moore,27,4,12,"210 for 347, 2,497 yards, 16 td, 9 int, & 32 rushes for 65 yards and 2 td",,Starters_1,MIA,2011,2025-08-15 19:20:01
RB,Reggie Bush,26,5,15,"216 rushes for 1,086 yards, 6 td, & 43 catches for 296 yards and 1 td",,Starters_1,MIA,2011,2025-08-15 19:20:01
FB,Charles Clay,22,Rook,9,"0 rushes for yards, 0 td, & 16 catches for 233 yards and 3 td",,Starters_1,MIA,2011,2025-08-15 19:20:01
WR,Brian Hartline,25,2,10,"35 catches for 549 yards, 1 td, & 1 rush for 9 yards and 0 td",,Starters_1,MIA,2011,2025-08-15 19:20:01
WR,Brandon Marshall*,27,5,16,"81 catches for 1,214 yards, 6 td, & 1 rush for 13 yards and 0 td",,Starters_1,MIA,2011,2025-08-15 19:20:01
TE,Anthony Fasano,27,5,15,"32 catches for 451 yards, 5 td",,Starters_1,MIA,2011,2025-08-15 19:20:01
LT,Jake Long*,26,3,14,,,Starters_1,MIA,2011,2025-08-15 19:20:01
LG,Richie Incognito,28,5,15,1 fumble recovered,,Starters_1,MIA,2011,2025-08-15 19:20:01
C,Mike Pouncey,22,Rook,16,1 fumble recovered,,Starters_1,MIA,2011,2025-08-15 19:20:01
RG,Vernon Carey,30,7,15,1 fumble recovered,,Starters_1,MIA,2011,2025-08-15 19:20:01
RT,Marc Colombo,33,9,16,,,Starters_1,MIA,2011,2025-08-15 19:20:01
LDE,Kendall Langford,25,3,12,,,Starters_1,MIA,2011,2025-08-15 19:20:01
NT,Paul Soliai*,28,4,12,,,Starters_1,MIA,2011,2025-08-15 19:20:01
RDE,Randy Starks,28,7,15,"4.5 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
LOLB,Koa Misi,24,1,9,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
LILB,Karlos Dansby,30,7,16,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
RILB,Kevin Burnett,29,6,16,"2.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
ROLB,Cameron Wake,29,2,14,"8.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
LCB,Sean Smith,24,2,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
RCB,Vontae Davis,23,2,12,"1.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
SS,Yeremiah Bell,33,7,16,"2.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
FS,Reshad Jones,23,1,12,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,MIA,2011,2025-08-15 19:20:01
