Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
MIN,1999,QB,Jeff George,32,9,10,"191 for 329, 2,816 yards, 23 td, 12 int, & 16 rushes for 41 yards and 0 td",,Starters_1
MIN,1999,RB,Robert Smith,27,6,12,"221 rushes for 1,015 yards, 2 td, & 24 catches for 166 yards and 0 td",,Starters_1
MIN,1999,WR,Cris Carter*+,34,12,16,"90 catches for 1,241 yards, 13 td",,Starters_1
MIN,1999,WR,Randy Moss*,22,1,16,"80 catches for 1,413 yards, 11 td, & 4 rushes for 43 yards and 0 td",,Starters_1
MIN,1999,WR,Jake Reed,32,8,8,"44 catches for 643 yards, 2 td",,Starters_1
MIN,1999,TE,Andrew Glover,32,8,13,"28 catches for 327 yards, 1 td",,Starters_1
MIN,1999,LT,Todd Steussie,29,5,16,1 fumble recovered,,Starters_1
MIN,1999,LG,Randall McDaniel*,35,11,16,,,Starters_1
MIN,1999,C,Jeff Christy*,30,6,16,,,Starters_1
MIN,1999,RG,David Dixon,30,5,16,,,Starters_1
MIN,1999,RT,Korey Stringer,25,4,16,,,Starters_1
MIN,1999,LDE,John Randle,32,9,16,"10.0 sacks, 1 interception, 3 fumbles recovered",,Starters_1
MIN,1999,LDT,Jerry Ball,35,12,10,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
MIN,1999,RDT,Tony Williams,24,2,12,"5.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
MIN,1999,RDE,Chris Doleman,38,14,12,"8.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
MIN,1999,LLB,Kailee Wong,23,1,8,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
MIN,1999,MLB,Ed McDaniel,30,7,16,"2.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
MIN,1999,RLB,Dwayne Rudd,23,2,16,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
MIN,1999,LCB,Kenny Wright,22,Rook,12,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
MIN,1999,RCB,Jimmy Hitchcock,29,4,16,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
MIN,1999,SS,Robert Griffith,29,5,16,"4.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
MIN,1999,FS,Orlando Thomas,27,4,12,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
