Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Christian Ponder,25,2,9,"152 for 239, 1,648 yards, 7 td, 9 int, & 34 rushes for 151 yards and 4 td",,Starters_1,MIN,2013,2025-08-15 19:22:22
RB,Jerome Felton,27,5,9,"0 rushes for yards, 0 td, & 6 catches for 37 yards and 0 td",,Starters_1,MIN,2013,2025-08-15 19:22:22
RB,Adrian Peterson*,28,6,14,"279 rushes for 1,266 yards, 10 td, & 29 catches for 171 yards and 1 td",,Starters_1,MIN,2013,2025-08-15 19:22:22
WR,Greg Jennings,30,7,15,"68 catches for 804 yards, 4 td",,Starters_1,MIN,2013,2025-08-15 19:22:22
WR,Jerome Simpson,27,5,8,"48 catches for 726 yards, 1 td",,Starters_1,MIN,2013,2025-08-15 19:22:22
TE,Kyle Rudolph,24,2,8,"30 catches for 313 yards, 3 td",,Starters_1,MIN,2013,2025-08-15 19:22:22
LT,Matt Kalil,24,1,16,,,Starters_1,MIN,2013,2025-08-15 19:22:22
LG,Charlie Johnson,29,7,15,,,Starters_1,MIN,2013,2025-08-15 19:22:22
C,John Sullivan,28,5,16,,,Starters_1,MIN,2013,2025-08-15 19:22:22
RG,Brandon Fusco,25,2,15,,,Starters_1,MIN,2013,2025-08-15 19:22:22
RT,Phil Loadholt,27,4,15,,,Starters_1,MIN,2013,2025-08-15 19:22:22
LDE,Brian Robison,30,6,16,"9.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
LDT,Letroy Guion,26,5,13,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
RDT,Kevin Williams,33,10,15,"3.5 sacks, 1 interception, 1 fumble recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
RDE,Jared Allen,31,9,16,"11.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
LLB,Chad Greenway,30,6,16,"3.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
MLB,Erin Henderson,27,5,12,"4.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
RLB,Marvin Mitchell,29,6,10,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
LCB,Josh Robinson,22,1,10,,,Starters_1,MIN,2013,2025-08-15 19:22:22
RCB,Chris Cook,26,3,11,,,Starters_1,MIN,2013,2025-08-15 19:22:22
SS,Jamarca Sanford,28,4,13,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
FS,Andrew Sendejo,26,3,10,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,MIN,2013,2025-08-15 19:22:22
