Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
NOR,2003,QB,Aaron Brooks,27,3,16,"306 for 518, 3,546 yards, 24 td, 8 int, & 54 rushes for 175 yards and 2 td",,Starters_1
NOR,2003,RB,Deuce McAllister*,25,2,16,"351 rushes for 1,641 yards, 8 td, & 69 catches for 516 yards and 0 td",,Starters_1
NOR,2003,FB,Terrelle Smith,25,3,10,"0 rushes for yards, 0 td, & 6 catches for 28 yards and 0 td",,Starters_1
NOR,2003,WR,Joe Horn,31,7,14,"78 catches for 973 yards, 10 td, & 2 rushes for 15 yards and 0 td",,Starters_1
NOR,2003,WR,Jerome Pathon,28,5,12,"44 catches for 578 yards, 4 td",,Starters_1
NOR,2003,TE,Ernie Conwell,31,7,10,"26 catches for 290 yards, 2 td",,Starters_1
NOR,2003,LT,Wayne Gandy,32,9,16,,,Starters_1
NOR,2003,LG,Kendyl Jacox,28,5,11,,,Starters_1
NOR,2003,C,Jerry Fontenot,37,14,16,2 fumbles recovered,,Starters_1
NOR,2003,RG,LeCharles Bentley*,24,1,13,,,Starters_1
NOR,2003,RT,Victor Riley,29,5,16,,,Starters_1
NOR,2003,LDE,Charles Grant,25,1,16,"10.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NOR,2003,LDT,Johnathan Sullivan,22,Rook,12,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NOR,2003,RDT,Kenny Smith,26,2,9,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
NOR,2003,RDE,Willie Whitehead,30,4,10,"5.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
NOR,2003,LLB,Sedrick Hodge,25,2,9,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NOR,2003,MLB,Darrin Smith,33,10,10,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
NOR,2003,RLB,Derrick Rodgers,32,6,15,"0.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1
NOR,2003,LCB,Ashley Ambrose,33,11,12,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
NOR,2003,RCB,Fred Thomas,30,7,14,"1.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1
NOR,2003,SS,Jay Bellamy,31,9,16,"1.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
NOR,2003,FS,Tebucky Jones,29,5,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
