Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Jameis Winston,27,6,7,"95 for 161, 1,170 yards, 14 td, 3 int, & 32 rushes for 166 yards and 1 td",,Starters_1,NOR,2021,2025-08-15 19:27:29
RB,Alvin Kamara*,26,4,10,"240 rushes for 898 yards, 4 td, & 47 catches for 439 yards and 5 td",,Starters_1,NOR,2021,2025-08-15 19:27:29
WR,Marquez Callaway,23,1,11,"46 catches for 698 yards, 6 td",,Starters_1,NOR,2021,2025-08-15 19:27:29
WR,Tre'Quan Smith,25,3,6,"32 catches for 377 yards, 3 td",,Starters_1,NOR,2021,2025-08-15 19:27:29
TE,Garrett Griffin,27,4,6,"4 catches for 39 yards, 0 td",,Starters_1,NOR,2021,2025-08-15 19:27:29
TE,Adam Trautman,24,1,10,"27 catches for 263 yards, 2 td",,Starters_1,NOR,2021,2025-08-15 19:27:29
LT,Terron Armstead,30,8,8,,,Starters_1,NOR,2021,2025-08-15 19:27:29
LG,Calvin Throckmorton,25,1,14,,,Starters_1,NOR,2021,2025-08-15 19:27:29
C,Erik McCoy,24,2,12,,,Starters_1,NOR,2021,2025-08-15 19:27:29
RG,Cesar Ruiz,22,1,17,,,Starters_1,NOR,2021,2025-08-15 19:27:29
RT,Ryan Ramczyk,27,4,10,,,Starters_1,NOR,2021,2025-08-15 19:27:29
LDE,Cameron Jordan*,32,10,16,"12.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
LDT,Shy Tuttle,26,2,15,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
RDT,David Onyemata,29,5,11,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
RDE,Marcus Davenport,25,3,9,"9.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
LLB,Kwon Alexander,27,6,8,"3.5 sacks, 1 interception, 1 fumble recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
MLB,Demario Davis,32,9,16,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
RLB,C.J. Gardner-Johnson,24,2,11,"2.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
LCB,Paulson Adebo,22,Rook,17,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
RCB,Marshon Lattimore*,25,4,16,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
SS,Malcolm Jenkins,34,12,16,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
FS,Marcus Williams,25,4,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,NOR,2021,2025-08-15 19:27:29
