Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
NWE,1992,QB,Hugh Millen,29,5,7,"124 for 203, 1,203 yards, 8 td, 10 int, & 17 rushes for 108 yards and 0 td",,Starters_1
NWE,1992,RB,Leonard Russell,23,1,10,"123 rushes for 390 yards, 2 td, & 11 catches for 24 yards and 0 td",,Starters_1
NWE,1992,FB,John Stephens,26,4,16,"75 rushes for 277 yards, 2 td, & 21 catches for 161 yards and 0 td",,Starters_1
NWE,1992,WR,Irving Fryar,30,8,14,"55 catches for 791 yards, 4 td, & 1 rush for 6 yards and 0 td",,Starters_1
NWE,1992,WR,Greg McMurtry,25,2,15,"35 catches for 424 yards, 1 td, & 2 rushes for 3 yards and 0 td",,Starters_1
NWE,1992,TE,Marv Cook*,26,3,15,"52 catches for 413 yards, 2 td",,Starters_1
NWE,1992,LT,Bruce Armstrong,27,5,8,1 fumble recovered,,Starters_1
NWE,1992,LG,Reggie Redding,24,1,14,1 fumble recovered,,Starters_1
NWE,1992,C,Gene Chilton,28,6,16,2 fumbles recovered,,Starters_1
NWE,1992,RG,Eugene Chung,23,Rook,14,,,Starters_1
NWE,1992,RT,Pat Harlow,23,1,16,,,Starters_1
NWE,1992,LDE,Ray Agnew,25,2,14,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
NWE,1992,NT,Tim Goad,26,4,16,"2.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
NWE,1992,RDE,Brent Williams,28,6,15,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NWE,1992,LOLB,Andre Tippett,33,10,13,"7.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NWE,1992,LILB,Vincent Brown,27,4,13,"0.5 sacks, 1 interception, 2 fumbles recovered",,Starters_1
NWE,1992,RILB,Johnny Rembert,31,9,10,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NWE,1992,ROLB,David Howard,31,7,10,"1.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
NWE,1992,LCB,David Pool,26,2,14,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
NWE,1992,RCB,Maurice Hurst,25,3,16,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
NWE,1992,SS,Tim Gordon,27,5,8,,,Starters_1
NWE,1992,FS,Randy Robbins,30,8,15,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
