Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
NYG,2008,QB,Eli Manning*,27,4,16,"289 for 479, 3,238 yards, 21 td, 10 int, & 20 rushes for 10 yards and 1 td",,Starters_1
NYG,2008,RB,Brandon Jacobs,26,3,13,"219 rushes for 1,089 yards, 15 td, & 6 catches for 36 yards and 0 td",,Starters_1
NYG,2008,FB,Madison Hedgecock,27,3,10,"1 rush for yards, 0 td, & 8 catches for 52 yards and 1 td",,Starters_1
NYG,2008,WR,Plaxico Burress,31,8,9,"35 catches for 454 yards, 4 td",,Starters_1
NYG,2008,WR,Amani Toomer,34,12,12,"48 catches for 580 yards, 4 td",,Starters_1
NYG,2008,TE,Kevin Boss,24,1,15,"33 catches for 384 yards, 6 td",,Starters_1
NYG,2008,LT,David Diehl,28,5,16,2 fumbles recovered,,Starters_1
NYG,2008,LG,Rich Seubert,29,7,16,1 fumble recovered,,Starters_1
NYG,2008,C,Shaun O'Hara*,31,8,16,,,Starters_1
NYG,2008,RG,Chris Snee*+,26,4,16,,,Starters_1
NYG,2008,RT,Kareem McKenzie,29,7,16,3 fumbles recovered,,Starters_1
NYG,2008,LDE,Justin Tuck*+,25,3,16,"12.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
NYG,2008,LDT,Barry Cofield,24,2,15,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NYG,2008,RDT,Fred Robbins,31,8,14,"5.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NYG,2008,RDE,Mathias Kiwanuka,25,2,16,"8.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
NYG,2008,LLB,Danny Clark,31,8,15,,,Starters_1
NYG,2008,MLB,Antonio Pierce,30,7,15,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NYG,2008,RLB,Chase Blackburn,25,3,8,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
NYG,2008,LCB,Aaron Ross,26,1,15,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
NYG,2008,RCB,Corey Webster,26,3,16,"1.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
NYG,2008,SS,James Butler,26,3,14,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
NYG,2008,FS,Michael Johnson,24,1,16,"1.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
