Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Eli Manning,29,6,16,"339 for 539, 4,002 yards, 31 td, 25 int, & 32 rushes for 70 yards and 0 td",,Starters_1,NYG,2010,2025-08-15 19:28:05
RB,Ahmad Bradshaw,24,3,11,"276 rushes for 1,235 yards, 8 td, & 47 catches for 314 yards and 0 td",,Starters_1,NYG,2010,2025-08-15 19:28:05
WR,Mario Manningham,24,2,8,"60 catches for 944 yards, 9 td, & 1 rush for 2 yards and 0 td",,Starters_1,NYG,2010,2025-08-15 19:28:05
WR,Hakeem Nicks,22,1,12,"79 catches for 1,052 yards, 11 td",,Starters_1,NYG,2010,2025-08-15 19:28:05
TE,Kevin Boss,26,3,13,"35 catches for 531 yards, 5 td",,Starters_1,NYG,2010,2025-08-15 19:28:05
TE,Bear Pascoe,24,1,11,"9 catches for 72 yards, 0 td",,Starters_1,NYG,2010,2025-08-15 19:28:05
LT,David Diehl,30,7,12,1 fumble recovered,,Starters_1,NYG,2010,2025-08-15 19:28:05
LG,Kevin Boothe,27,4,5,,,Starters_1,NYG,2010,2025-08-15 19:28:05
C,Rich Seubert,31,9,16,2 fumbles recovered,,Starters_1,NYG,2010,2025-08-15 19:28:05
RG,Chris Snee*,28,6,16,,,Starters_1,NYG,2010,2025-08-15 19:28:05
RT,Kareem McKenzie,31,9,16,,,Starters_1,NYG,2010,2025-08-15 19:28:05
LDE,Justin Tuck*,27,5,16,"11.5 sacks, 0 interceptions, 5 fumbles recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
LDT,Barry Cofield,26,4,16,"4.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
RDT,Chris Canty,28,5,16,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
RDE,Osi Umenyiora,29,7,16,"11.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
LLB,Keith Bulluck,33,10,8,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
MLB,Jonathan Goff,25,2,16,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
RLB,Michael Boley,28,5,15,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
LCB,Corey Webster,28,5,15,"0.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
RCB,Terrell Thomas,25,2,16,"1.0 sacks, 5 interceptions, 2 fumbles recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
SS,Kenny Phillips,24,2,15,"0.0 sacks, 1 interception, 3 fumbles recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
FS,Antrel Rolle*,28,5,16,"0.5 sacks, 1 interception, 2 fumbles recovered",,Starters_1,NYG,2010,2025-08-15 19:28:05
