Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
NYJ,1997,QB,Neil O'Donnell,31,6,14,"259 for 460, 2,796 yards, 17 td, 7 int, & 32 rushes for 36 yards and 1 td",,Starters_1
NYJ,1997,RB,Adrian Murrell,27,4,15,"300 rushes for 1,086 yards, 7 td, & 27 catches for 106 yards and 0 td",,Starters_1
NYJ,1997,WR,Jeff Graham,28,6,16,"42 catches for 542 yards, 2 td",,Starters_1
NYJ,1997,WR,Keyshawn Johnson,25,1,16,"70 catches for 963 yards, 5 td",,Starters_1
NYJ,1997,TE,Fred Baxter,26,4,9,"27 catches for 276 yards, 3 td",,Starters_1
NYJ,1997,TE,Kyle Brady,25,2,14,"22 catches for 238 yards, 2 td",,Starters_1
NYJ,1997,LT,Jumbo Elliott,32,9,13,,,Starters_1
NYJ,1997,LG,Lonnie Palelei,27,4,14,1 fumble recovered,,Starters_1
NYJ,1997,C,Roger Duffy,30,7,15,1 fumble recovered,,Starters_1
NYJ,1997,RG,Matt O'Dwyer,25,2,16,,,Starters_1
NYJ,1997,RT,David Williams,31,8,11,,,Starters_1
NYJ,1997,LDE,Rick Lyle,26,3,16,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
NYJ,1997,NT,Ernie Logan,29,6,14,,,Starters_1
NYJ,1997,RDE,Hugh Douglas,26,2,15,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NYJ,1997,LOLB,Mo Lewis,28,6,16,"8.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
NYJ,1997,LILB,Dwayne Gordon,28,4,8,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NYJ,1997,RILB,Marvin Jones,25,4,16,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
NYJ,1997,ROLB,James Farrior,22,Rook,15,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
NYJ,1997,LCB,Aaron Glenn*,25,3,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
NYJ,1997,RCB,Otis Smith,32,6,16,"0.0 sacks, 6 interceptions, 2 fumbles recovered",,Starters_1
NYJ,1997,SS,Victor Green,28,4,16,"1.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
NYJ,1997,FS,Jerome Henderson,28,6,14,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
