Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Geno Smith,24,1,13,"219 for 367, 2,525 yards, 13 td, 13 int, & 59 rushes for 238 yards and 1 td",,Starters_1,NYJ,2014,2025-08-15 19:30:42
RB,Chris Ivory,26,4,10,"198 rushes for 821 yards, 6 td, & 18 catches for 123 yards and 1 td",,Starters_1,NYJ,2014,2025-08-15 19:30:42
WR,Eric Decker,27,4,15,"74 catches for 962 yards, 5 td",,Starters_1,NYJ,2014,2025-08-15 19:30:42
WR,Percy Harvin,26,5,8,"29 catches for 350 yards, 1 td, & 22 rushes for 110 yards and 0 td",,Starters_1,NYJ,2014,2025-08-15 19:30:42
WR,Jeremy Kerley,26,3,7,"38 catches for 409 yards, 1 td, & 4 rushes for 86 yards and 0 td",,Starters_1,NYJ,2014,2025-08-15 19:30:42
TE,Jeff Cumberland,27,4,14,"23 catches for 247 yards, 3 td",,Starters_1,NYJ,2014,2025-08-15 19:30:42
LT,D'Brickashaw Ferguson,31,8,16,,,Starters_1,NYJ,2014,2025-08-15 19:30:42
LG,Oday Aboushi,23,1,10,,,Starters_1,NYJ,2014,2025-08-15 19:30:42
C,Nick Mangold*,30,8,15,,,Starters_1,NYJ,2014,2025-08-15 19:30:42
RG,Willie Colon,31,8,16,,,Starters_1,NYJ,2014,2025-08-15 19:30:42
RT,Breno Giacomini,29,6,16,,,Starters_1,NYJ,2014,2025-08-15 19:30:42
LDE,Muhammad Wilkerson,25,3,13,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
NT,Damon Harrison,26,2,16,,,Starters_1,NYJ,2014,2025-08-15 19:30:42
RDE,Sheldon Richardson*,24,1,16,"8.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
LOLB,Quinton Coples,24,2,15,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
LILB,Demario Davis,25,2,16,"3.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
RILB,David Harris,30,7,16,"5.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
ROLB,Calvin Pace,34,11,16,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
LCB,Antonio Allen,26,2,8,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
RCB,Darrin Walls,26,3,12,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
SS,Calvin Pryor,22,Rook,11,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
FS,Dawan Landry,32,8,14,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NYJ,2014,2025-08-15 19:30:42
