Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
OTI,1979,QB,Dan Pastorini,30,8,15,"163 for 324, 2,090 yards, 14 td, 18 int, & 15 rushes for 23 yards and 0 td",,Starters_1
OTI,1979,RB,Earl Campbell*+,24,1,16,"368 rushes for 1,697 yards, 19 td, & 16 catches for 94 yards and 0 td",,Starters_1
OTI,1979,FB,Tim Wilson,25,2,16,"84 rushes for 319 yards, 2 td, & 29 catches for 208 yards and 1 td",,Starters_1
OTI,1979,WR,Ken Burrough,31,9,16,"40 catches for 752 yards, 6 td",,Starters_1
OTI,1979,WR,Rich Caster,31,9,14,"18 catches for 239 yards, 1 td, & 4 rushes for 25 yards and 0 td",,Starters_1
OTI,1979,TE,Mike Barber,26,3,15,"27 catches for 377 yards, 3 td, & 2 rushes for 4 yards and 0 td",,Starters_1
OTI,1979,LT,Leon Gray*+,28,6,16,,,Starters_1
OTI,1979,LG,Conway Hayman,30,4,16,,,Starters_1
OTI,1979,C,Carl Mauck,32,10,16,4 fumbles recovered,,Starters_1
OTI,1979,RG,Ed Fisher,30,5,16,,,Starters_1
OTI,1979,RT,Morris Towns,25,2,16,1 fumble recovered,,Starters_1
OTI,1979,LDE,Andy Dorris,28,6,16,,,Starters_1
OTI,1979,NT,Curley Culp,33,11,16,,,Starters_1
OTI,1979,RDE,Elvin Bethea*,33,11,14,"0 interceptions, 1 fumble recovered",,Starters_1
OTI,1979,LOLB,Ted Washington,31,6,15,,,Starters_1
OTI,1979,LILB,Gregg Bingham,28,6,16,"3 interceptions, 3 fumbles recovered",,Starters_1
OTI,1979,RILB,Art Stringer,25,2,8,"2 interceptions, 0 fumbles recovered",,Starters_1
OTI,1979,ROLB,Robert Brazile*+,26,4,16,"2 interceptions, 3 fumbles recovered",,Starters_1
OTI,1979,LCB,J.C. Wilson,23,1,16,"6 interceptions, 1 fumble recovered",,Starters_1
OTI,1979,RCB,Greg Stemrick,28,4,16,"2 interceptions, 1 fumble recovered",,Starters_1
OTI,1979,SS,Vernon Perry,26,1,16,"3 interceptions, 0 fumbles recovered",,Starters_1
OTI,1979,FS,Mike Reinfeldt*+,26,3,16,"12 interceptions, 0 fumbles recovered",,Starters_1
