Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
PHI,1976,QB,Mike Boryla,25,2,10,"123 for 246, 1,247 yards, 9 td, 14 int, & 29 rushes for 166 yards and 2 td",,Starters_1
PHI,1976,RB,Tom Sullivan,26,4,8,"99 rushes for 399 yards, 2 td, & 14 catches for 116 yards and 1 td",,Starters_1
PHI,1976,FB,Mike Hogan,22,Rook,8,"123 rushes for 561 yards, 0 td, & 15 catches for 89 yards and 0 td",,Starters_1
PHI,1976,WR,Harold Carmichael,27,5,14,"42 catches for 503 yards, 5 td",,Starters_1
PHI,1976,WR,Charlie Smith,26,2,14,"27 catches for 412 yards, 4 td, & 9 rushes for 25 yards and 1 td",,Starters_1
PHI,1976,TE,Charle Young,25,3,14,"30 catches for 374 yards, 0 td, & 1 rush for 6 yards and 0 td",,Starters_1
PHI,1976,LT,Stan Walters,28,4,14,,,Starters_1
PHI,1976,LG,Wade Key,30,6,13,1 fumble recovered,,Starters_1
PHI,1976,C,Guy Morriss,25,3,14,,,Starters_1
PHI,1976,RG,Jerry Sisemore,25,3,14,3 fumbles recovered,,Starters_1
PHI,1976,RT,Ed George,30,1,14,2 fumbles recovered,,Starters_1
PHI,1976,LDE,Blenda Gay,26,2,13,"0 interceptions, 1 fumble recovered",,Starters_1
PHI,1976,LDT,Manny Sistrunk,29,6,13,,,Starters_1
PHI,1976,RDT,Carl Hairston,24,Rook,9,,,Starters_1
PHI,1976,RDE,Will Wynn,27,3,14,"0 interceptions, 3 fumbles recovered",,Starters_1
PHI,1976,LLB,Frank LeMaster,24,2,14,,,Starters_1
PHI,1976,MLB,Bill Bergey*,31,7,14,"2 interceptions, 0 fumbles recovered",,Starters_1
PHI,1976,RLB,John Bunting,26,4,14,"0 interceptions, 1 fumble recovered",,Starters_1
PHI,1976,LCB,John Outlaw,31,7,13,"2 interceptions, 0 fumbles recovered",,Starters_1
PHI,1976,RCB,Al Clark,28,5,13,"1 interception, 2 fumbles recovered",,Starters_1
PHI,1976,SS,Randy Logan,25,3,14,"1 interception, 0 fumbles recovered",,Starters_1
PHI,1976,FS,Bill Bradley,29,7,12,"2 interceptions, 2 fumbles recovered",,Starters_1
