Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Jalen Hurts*,24,2,15,"306 for 460, 3,701 yards, 22 td, 6 int, & 165 rushes for 760 yards and 13 td",,Starters_1,PHI,2022,2025-08-15 19:35:50
RB,Miles Sanders*,25,3,15,"259 rushes for 1,269 yards, 11 td, & 20 catches for 78 yards and 0 td",,Starters_1,PHI,2022,2025-08-15 19:35:50
WR,A.J. Brown*,25,3,16,"88 catches for 1,496 yards, 11 td",,Starters_1,PHI,2022,2025-08-15 19:35:50
WR,DeVonta Smith,24,1,17,"95 catches for 1,196 yards, 7 td",,Starters_1,PHI,2022,2025-08-15 19:35:50
TE,Dallas Goedert,27,4,12,"55 catches for 702 yards, 3 td",,Starters_1,PHI,2022,2025-08-15 19:35:50
TE,Jack Stoll,24,1,11,"11 catches for 123 yards, 0 td",,Starters_1,PHI,2022,2025-08-15 19:35:50
LT,Jordan Mailata,25,2,16,1 fumble recovered,,Starters_1,PHI,2022,2025-08-15 19:35:50
LG,Landon Dickerson*,24,1,17,,,Starters_1,PHI,2022,2025-08-15 19:35:50
C,Jason Kelce*+,35,11,17,1 fumble recovered,,Starters_1,PHI,2022,2025-08-15 19:35:50
RG,Isaac Seumalo,29,6,17,,,Starters_1,PHI,2022,2025-08-15 19:35:50
RT,Lane Johnson*+,32,9,15,,,Starters_1,PHI,2022,2025-08-15 19:35:50
LDE,Josh Sweat,25,4,16,"11.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
LDT,Javon Hargrave,29,6,17,"11.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
RDT,Linval Joseph,34,12,8,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
RDE,Fletcher Cox,32,10,17,"7.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
LLB,Haason Reddick*,28,5,17,"16.0 sacks, 0 interceptions, 3 fumbles recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
RLB,T.J. Edwards,26,3,17,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
LCB,James Bradberry,29,6,17,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
RCB,Darius Slay*,31,9,17,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
SS,Marcus Epps,26,3,17,,,Starters_1,PHI,2022,2025-08-15 19:35:50
FS,C.J. Gardner-Johnson,25,3,12,"1.0 sacks, 6 interceptions, 0 fumbles recovered",,Starters_1,PHI,2022,2025-08-15 19:35:50
DB,Avonte Maddox,26,4,8,,,Starters_1,PHI,2022,2025-08-15 19:35:50
