Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
PIT,2004,QB,Ben Roethlisberger,22,Rook,13,"196 for 295, 2,621 yards, 17 td, 11 int, & 56 rushes for 144 yards and 1 td",,Starters_1
PIT,2004,RB,Jerome Bettis*,32,11,6,"250 rushes for 941 yards, 13 td, & 6 catches for 46 yards and 0 td",,Starters_1
PIT,2004,FB,Dan Kreider,27,4,9,"4 rushes for 18 yards, 0 td, & 10 catches for 75 yards and 1 td",,Starters_1
PIT,2004,WR,Plaxico Burress,27,4,11,"35 catches for 698 yards, 5 td",,Starters_1
PIT,2004,WR,Hines Ward*,28,6,16,"80 catches for 1,004 yards, 4 td, & 7 rushes for 25 yards and 1 td",,Starters_1
PIT,2004,TE,Jerame Tuman,28,5,16,"9 catches for 89 yards, 3 td",,Starters_1
PIT,2004,LT,Marvel Smith*,26,4,16,,,Starters_1
PIT,2004,LG,Alan Faneca*+,28,6,16,,,Starters_1
PIT,2004,C,Jeff Hartings*+,32,8,16,,,Starters_1
PIT,2004,RG,Keydrick Vincent,26,3,16,,,Starters_1
PIT,2004,RT,Oliver Ross,30,6,16,,,Starters_1
PIT,2004,LDE,Aaron Smith*,28,5,15,"8.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
PIT,2004,NT,Chris Hoke,28,1,10,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
PIT,2004,RDE,Kimo von Oelhoffen,33,10,15,"1.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
PIT,2004,LOLB,Clark Haggans,27,4,13,"6.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
PIT,2004,LILB,James Farrior*+,29,7,16,"3.0 sacks, 4 interceptions, 3 fumbles recovered",,Starters_1
PIT,2004,RILB,Larry Foote,24,2,16,"3.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
PIT,2004,ROLB,Joey Porter*,27,5,15,"7.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
PIT,2004,LCB,Willie Williams,34,11,10,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
PIT,2004,RCB,Deshea Townsend,29,6,15,"4.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1
PIT,2004,SS,Troy Polamalu*,23,1,16,"1.0 sacks, 5 interceptions, 0 fumbles recovered",,Starters_1
PIT,2004,FS,Chris Hope,24,2,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
