Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
RAI,1994,QB,Jeff Hostetler*,33,9,16,"263 for 455, 3,334 yards, 20 td, 16 int, & 46 rushes for 159 yards and 2 td",,Starters_1
RAI,1994,RB,Harvey Williams,27,3,10,"282 rushes for 983 yards, 4 td, & 47 catches for 391 yards and 3 td",,Starters_1
RAI,1994,FB,Tom Rathman,32,8,16,"28 rushes for 118 yards, 0 td, & 26 catches for 194 yards and 0 td",,Starters_1
RAI,1994,WR,Tim Brown*,28,6,16,"89 catches for 1,309 yards, 9 td",,Starters_1
RAI,1994,WR,Alexander Wright,27,4,15,"16 catches for 294 yards, 2 td",,Starters_1
RAI,1994,TE,Andrew Glover,27,3,16,"33 catches for 371 yards, 2 td",,Starters_1
RAI,1994,LT,Gerald Perry,30,6,12,,,Starters_1
RAI,1994,LG,Steve Wisniewski*,27,5,16,,,Starters_1
RAI,1994,C,Don Mosebar,33,11,16,,,Starters_1
RAI,1994,RG,Kevin Gogan*,30,7,16,,,Starters_1
RAI,1994,RT,Greg Skrepenak,24,2,10,,,Starters_1
RAI,1994,LDE,Nolan Harrison,25,3,16,"5.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
RAI,1994,LDT,Jerry Ball,30,7,14,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAI,1994,RDT,Chester McGlockton*,25,2,16,"9.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAI,1994,RDE,Anthony Smith,27,3,16,"6.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAI,1994,LLB,Rob Fredrickson,23,Rook,12,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
RAI,1994,MLB,Greg Biekert,25,1,14,"1.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1
RAI,1994,RLB,Winston Moss,29,7,15,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
RAI,1994,LCB,Terry McDaniel*,29,6,16,"0.0 sacks, 7 interceptions, 3 fumbles recovered",,Starters_1
RAI,1994,RCB,Albert Lewis,34,11,9,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
RAI,1994,SS,Derrick Hoskins,24,2,9,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAI,1994,FS,Eddie Anderson,31,8,14,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
