Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Derek Carr,30,7,17,"428 for 626, 4,804 yards, 23 td, 14 int, & 40 rushes for 108 yards and 0 td",,Starters_1,RAI,2021,2025-08-15 19:39:39
RB,Josh Jacobs,23,2,14,"217 rushes for 872 yards, 9 td, & 54 catches for 348 yards and 0 td",,Starters_1,RAI,2021,2025-08-15 19:39:39
WR,Bryan Edwards,23,1,12,"34 catches for 571 yards, 3 td, & 1 rush for yards and 0 td",,Starters_1,RAI,2021,2025-08-15 19:39:39
WR,Zay Jones,26,4,9,"47 catches for 546 yards, 1 td, & 2 rushes for 3 yards and 0 td",,Starters_1,RAI,2021,2025-08-15 19:39:39
WR,Hunter Renfrow*,26,2,9,"103 catches for 1,038 yards, 9 td, & 3 rushes for 3 yards and 0 td",,Starters_1,RAI,2021,2025-08-15 19:39:39
TE,Darren Waller,29,6,11,"55 catches for 665 yards, 2 td",,Starters_1,RAI,2021,2025-08-15 19:39:39
LT,Kolton Miller,26,3,17,,,Starters_1,RAI,2021,2025-08-15 19:39:39
LG,John Simpson,24,1,17,3 fumbles recovered,,Starters_1,RAI,2021,2025-08-15 19:39:39
C,Andre James,24,2,17,,,Starters_1,RAI,2021,2025-08-15 19:39:39
RG,Alex Leatherwood,22,Rook,17,,,Starters_1,RAI,2021,2025-08-15 19:39:39
RT,Brandon Parker,26,3,13,1 fumble recovered,,Starters_1,RAI,2021,2025-08-15 19:39:39
LDE,Yannick Ngakoue,26,5,17,"10.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
LDT,Johnathan Hankins,29,8,14,,,Starters_1,RAI,2021,2025-08-15 19:39:39
RDT,Quinton Jefferson,28,5,17,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
RDE,Maxx Crosby*,24,2,17,"8.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
LLB,Cory Littleton,28,5,13,"0.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
MLB,Denzel Perryman*,29,6,15,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
RLB,K.J. Wright,32,10,8,,,Starters_1,RAI,2021,2025-08-15 19:39:39
LCB,Brandon Facyson,27,3,9,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
RCB,Casey Hayward,32,9,17,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
SS,Johnathan Abram,25,2,14,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
FS,Tre'von Moehrig,22,Rook,17,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,RAI,2021,2025-08-15 19:39:39
