Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
RAM,2001,QB,Kurt Warner*+,30,3,16,"375 for 546, 4,830 yards, 36 td, 22 int, & 28 rushes for 60 yards and 0 td",,Starters_1
RAM,2001,RB,Marshall Faulk*+,28,7,14,"260 rushes for 1,382 yards, 12 td, & 83 catches for 765 yards and 9 td",,Starters_1
RAM,2001,FB,James Hodgins,24,2,11,"2 rushes for 5 yards, 0 td, & 4 catches for 24 yards and 1 td",,Starters_1
RAM,2001,WR,Isaac Bruce*,29,7,16,"64 catches for 1,106 yards, 6 td, & 4 rushes for 23 yards and 0 td",,Starters_1
RAM,2001,WR,Torry Holt*,25,2,14,"81 catches for 1,363 yards, 7 td, & 2 rushes for yards and 0 td",,Starters_1
RAM,2001,TE,Ernie Conwell,29,5,14,"38 catches for 431 yards, 4 td, & 7 rushes for 28 yards and 1 td",,Starters_1
RAM,2001,LT,Orlando Pace*+,26,4,16,1 fumble recovered,,Starters_1
RAM,2001,LG,Tom Nutten,30,6,14,,,Starters_1
RAM,2001,C,Andy McCollum,31,6,16,,,Starters_1
RAM,2001,RG,Adam Timmerman*,30,6,16,1 fumble recovered,,Starters_1
RAM,2001,RT,Ryan Tucker,26,4,15,1 fumble recovered,,Starters_1
RAM,2001,LDE,Chidi Ahanotu,31,8,16,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAM,2001,LDT,Brian Young,24,1,16,"6.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1
RAM,2001,RDT,Jeff Zgonina,31,8,13,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
RAM,2001,RDE,Grant Wistrom,25,3,15,"9.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
RAM,2001,LLB,Tommy Polley,23,Rook,11,,,Starters_1
RAM,2001,MLB,London Fletcher,26,3,16,"4.5 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
RAM,2001,RLB,Mark Fields,29,6,12,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
RAM,2001,LCB,Aeneas Williams*+,33,10,16,"0.0 sacks, 4 interceptions, 4 fumbles recovered",,Starters_1
RAM,2001,RCB,Dexter McCleon,28,4,16,"0.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1
RAM,2001,SS,Adam Archuleta,24,Rook,12,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAM,2001,FS,Kim Herring,26,4,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
