Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Matthew Stafford,33,12,17,"404 for 601, 4,886 yards, 41 td, 17 int, & 32 rushes for 43 yards and 0 td",,Starters_1,RAM,2021,2025-08-15 19:41:38
RB,Darrell Henderson,24,2,10,"149 rushes for 688 yards, 5 td, & 29 catches for 176 yards and 3 td",,Starters_1,RAM,2021,2025-08-15 19:41:38
WR,Van Jefferson,25,1,17,"50 catches for 802 yards, 6 td, & 2 rushes for 20 yards and 0 td",,Starters_1,RAM,2021,2025-08-15 19:41:38
WR,Cooper Kupp*+,28,4,17,"145 catches for 1,947 yards, 16 td, & 4 rushes for 18 yards and 0 td",,Starters_1,RAM,2021,2025-08-15 19:41:38
WR,Robert Woods,29,8,9,"45 catches for 556 yards, 4 td, & 8 rushes for 46 yards and 1 td",,Starters_1,RAM,2021,2025-08-15 19:41:38
TE,Tyler Higbee,28,5,15,"61 catches for 560 yards, 5 td",,Starters_1,RAM,2021,2025-08-15 19:41:38
LT,Andrew Whitworth,40,15,15,1 fumble recovered,,Starters_1,RAM,2021,2025-08-15 19:41:38
LG,David Edwards,24,2,17,,,Starters_1,RAM,2021,2025-08-15 19:41:38
C,Brian Allen,26,3,16,,,Starters_1,RAM,2021,2025-08-15 19:41:38
RG,Austin Corbett,26,3,17,,,Starters_1,RAM,2021,2025-08-15 19:41:38
RT,Rob Havenstein,29,6,15,,,Starters_1,RAM,2021,2025-08-15 19:41:38
LDE,A'Shawn Robinson,26,5,14,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
LDT,Aaron Donald*+,30,7,17,"12.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
RDT,Greg Gaines,25,2,13,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
RDE,Von Miller,32,10,8,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
LLB,Troy Reeder,27,2,10,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
MLB,Kenny Young,27,3,7,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
RLB,Leonard Floyd,29,5,17,"9.5 sacks, 1 interception, 1 fumble recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
LCB,Darious Williams,28,3,13,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
RCB,Jalen Ramsey*+,27,5,16,"0.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
SS,Jordan Fuller,23,1,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
FS,Taylor Rapp,24,2,17,"1.5 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,RAM,2021,2025-08-15 19:41:38
