Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Lamar Jackson*+,26,5,16,"307 for 457, 3,678 yards, 24 td, 7 int, & 148 rushes for 821 yards and 5 td",,Starters_1,RAV,2023,2025-08-15 18:53:04
RB,Gus Edwards,28,5,9,"198 rushes for 810 yards, 13 td, & 12 catches for 180 yards and 0 td",,Starters_1,RAV,2023,2025-08-15 18:53:04
FB,Patrick Ricard,29,6,9,"0 rushes for yards, 0 td, & 5 catches for 52 yards and 1 td",,Starters_1,RAV,2023,2025-08-15 18:53:04
WR,Rashod Bateman,24,2,12,"32 catches for 367 yards, 1 td, & 1 rush for 18 yards and 0 td",,Starters_1,RAV,2023,2025-08-15 18:53:04
WR,Zay Flowers,23,Rook,16,"77 catches for 858 yards, 5 td, & 8 rushes for 56 yards and 1 td",,Starters_1,RAV,2023,2025-08-15 18:53:04
TE,Mark Andrews,28,5,9,"45 catches for 544 yards, 6 td, & 1 rush for yards and 0 td",,Starters_1,RAV,2023,2025-08-15 18:53:04
LT,Ronnie Stanley,29,7,13,,,Starters_1,RAV,2023,2025-08-15 18:53:04
LG,John Simpson,26,3,17,1 fumble recovered,,Starters_1,RAV,2023,2025-08-15 18:53:04
C,Tyler Linderbaum*,23,1,15,,,Starters_1,RAV,2023,2025-08-15 18:53:04
RG,Kevin Zeitler*,33,11,15,1 fumble recovered,,Starters_1,RAV,2023,2025-08-15 18:53:04
RT,Morgan Moses,32,9,14,,,Starters_1,RAV,2023,2025-08-15 18:53:04
LDE,Nnamdi Madubuike*,26,3,17,"13.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
DT,Broderick Washington Jr.,27,3,5,,,Starters_1,RAV,2023,2025-08-15 18:53:04
NT,Michael Pierce,31,7,17,"1.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
LOLB,Malik Harrison,25,3,8,,,Starters_1,RAV,2023,2025-08-15 18:53:04
LILB,Roquan Smith*+,26,5,16,"1.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
RILB,Patrick Queen*,24,3,17,"3.5 sacks, 1 interception, 1 fumble recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
ROLB,Jadeveon Clowney,30,9,15,"9.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
LCB,Marlon Humphrey,27,6,10,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
RCB,Brandon Stephens,26,2,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
SS,Kyle Hamilton*+,22,1,15,"3.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
FS,Marcus Williams,27,6,11,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,RAV,2023,2025-08-15 18:53:04
