Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
SDG,2001,QB,Doug Flutie,39,15,16,"294 for 521, 3,464 yards, 15 td, 18 int, & 53 rushes for 192 yards and 1 td",,Starters_1
SDG,2001,RB,LaDainian Tomlinson,22,Rook,16,"339 rushes for 1,236 yards, 10 td, & 59 catches for 367 yards and 0 td",,Starters_1
SDG,2001,FB,Fred McCrary,29,6,12,"2 rushes for 3 yards, 0 td, & 13 catches for 71 yards and 0 td",,Starters_1
SDG,2001,WR,Curtis Conway,30,8,16,"71 catches for 1,125 yards, 6 td, & 7 rushes for 116 yards and 1 td",,Starters_1
SDG,2001,WR,Jeff Graham,32,10,11,"52 catches for 811 yards, 5 td",,Starters_1
SDG,2001,TE,Steve Heiden,25,2,10,"8 catches for 55 yards, 1 td",,Starters_1
SDG,2001,LT,Damion McIntosh,24,1,14,,,Starters_1
SDG,2001,LG,Raleigh Roundtree,26,3,16,1 fumble recovered,,Starters_1
SDG,2001,C,Kendyl Jacox,26,3,16,2 fumbles recovered,,Starters_1
SDG,2001,RG,DeMingo Graham,28,2,16,1 fumble recovered,,Starters_1
SDG,2001,RT,Vaughn Parker,30,7,16,,,Starters_1
SDG,2001,LDE,Marcellus Wiley*,27,4,14,"13.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
SDG,2001,LDT,Leonardo Carson,24,1,13,"3.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
SDG,2001,RDT,John Parrella,32,8,16,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SDG,2001,RDE,Raylee Johnson,31,8,16,"9.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
SDG,2001,LLB,Gerald Dixon,32,8,15,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
SDG,2001,MLB,Orlando Ruff,25,2,14,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SDG,2001,RLB,Junior Seau*,32,11,16,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
SDG,2001,LCB,Tay Cody,24,Rook,11,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
SDG,2001,RCB,Ryan McNeil*,31,8,16,"0.0 sacks, 8 interceptions, 0 fumbles recovered",,Starters_1
SDG,2001,SS,Rodney Harrison*,29,7,14,"3.5 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
SDG,2001,FS,Rogers Beckett,24,1,16,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
