Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Justin Herbert,25,3,13,"297 for 456, 3,134 yards, 20 td, 7 int, & 52 rushes for 228 yards and 3 td",,Starters_1,SDG,2023,2025-08-15 19:44:00
RB,Austin Ekeler,28,6,14,"179 rushes for 628 yards, 5 td, & 51 catches for 436 yards and 1 td",,Starters_1,SDG,2023,2025-08-15 19:44:00
WR,Keenan Allen*,31,10,13,"108 catches for 1,243 yards, 7 td, & 2 rushes for 6 yards and 0 td",,Starters_1,SDG,2023,2025-08-15 19:44:00
WR,Quentin Johnston,22,Rook,10,"38 catches for 431 yards, 2 td, & 3 rushes for 9 yards and 0 td",,Starters_1,SDG,2023,2025-08-15 19:44:00
TE,Gerald Everett,29,6,12,"51 catches for 411 yards, 3 td, & 3 rushes for 10 yards and 0 td",,Starters_1,SDG,2023,2025-08-15 19:44:00
TE,Donald Parham,26,3,8,"27 catches for 285 yards, 4 td",,Starters_1,SDG,2023,2025-08-15 19:44:00
LT,Rashawn Slater,24,2,17,,,Starters_1,SDG,2023,2025-08-15 19:44:00
LG,Zion Johnson,24,1,15,,,Starters_1,SDG,2023,2025-08-15 19:44:00
C,Will Clapp,28,5,11,,,Starters_1,SDG,2023,2025-08-15 19:44:00
RG,Jamaree Salyer,23,1,17,,,Starters_1,SDG,2023,2025-08-15 19:44:00
RT,Trey Pipkins,27,4,17,,,Starters_1,SDG,2023,2025-08-15 19:44:00
LDE,Sebastian Joseph-Day,28,4,14,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
NT,Nick Williams,33,9,6,"1.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
RDE,Austin Johnson,29,7,17,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
LOLB,Khalil Mack*,32,9,17,"17.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
LILB,Eric Kendricks,31,8,14,"3.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
RILB,Kenneth Murray,25,3,15,"3.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
ROLB,Tuli Tuipulotu,21,Rook,11,"4.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
LCB,Asante Samuel Jr.,24,2,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
RCB,Michael Davis,28,6,13,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
SS,Alohi Gilman,26,3,14,"0.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
FS,Derwin James,27,5,16,"2.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1,SDG,2023,2025-08-15 19:44:00
