Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Justin Herbert,26,4,17,"332 for 504, 3,870 yards, 23 td, 3 int, & 69 rushes for 306 yards and 2 td",,Starters_1,SDG,2024,2025-08-15 19:44:09
RB,J.K. Dobbins,26,4,11,"195 rushes for 905 yards, 9 td, & 32 catches for 153 yards and 0 td",,Starters_1,SDG,2024,2025-08-15 19:44:09
FB,Scott Matlock,24,1,11,"0 rushes for yards, 0 td, & 4 catches for 28 yards and 0 td",,Starters_1,SDG,2024,2025-08-15 19:44:09
WR,Quentin Johnston,23,1,11,"55 catches for 711 yards, 8 td, & 3 rushes for 6 yards and 0 td",,Starters_1,SDG,2024,2025-08-15 19:44:09
WR,Ladd McConkey,23,Rook,14,"82 catches for 1,149 yards, 7 td",,Starters_1,SDG,2024,2025-08-15 19:44:09
TE,Will Dissly,28,6,8,"50 catches for 481 yards, 2 td",,Starters_1,SDG,2024,2025-08-15 19:44:09
LT,Rashawn Slater*,25,3,15,1 fumble recovered,,Starters_1,SDG,2024,2025-08-15 19:44:09
LG,Zion Johnson,25,2,17,,,Starters_1,SDG,2024,2025-08-15 19:44:09
C,Bradley Bozeman,30,6,17,,,Starters_1,SDG,2024,2025-08-15 19:44:09
RG,Trey Pipkins,28,5,15,,,Starters_1,SDG,2024,2025-08-15 19:44:09
RT,Joe Alt,21,Rook,16,,,Starters_1,SDG,2024,2025-08-15 19:44:09
NT,Otito Ogbonnia,24,2,17,,,Starters_1,SDG,2024,2025-08-15 19:44:09
RDT,Poona Ford,29,6,17,"3.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
LOLB,Khalil Mack*,33,10,16,"6.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
LILB,Daiyan Henley,25,1,17,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
RILB,Denzel Perryman,32,9,11,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
ROLB,Joey Bosa*,29,8,9,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
LCB,Kristian Fulton,26,4,14,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
RCB,Tarheeb Still,22,Rook,12,"0.5 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
SS,Derwin James*,28,6,16,"5.5 sacks, 1 interception, 1 fumble recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
FS,Alohi Gilman,27,4,11,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SDG,2024,2025-08-15 19:44:09
DB,Elijah Molden,25,3,12,,,Starters_1,SDG,2024,2025-08-15 19:44:09
