Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
SEA,1991,QB,Dave Krieg,33,11,9,"187 for 285, 2,080 yards, 11 td, 12 int, & 13 rushes for 59 yards and 0 td",,Starters_1
SEA,1991,RB,Derrick Fenner,24,2,7,"91 rushes for 267 yards, 4 td, & 11 catches for 72 yards and 0 td",,Starters_1
SEA,1991,FB,John Williams*,27,5,16,"188 rushes for 741 yards, 4 td, & 61 catches for 499 yards and 1 td",,Starters_1
SEA,1991,WR,Brian Blades,26,3,16,"70 catches for 1,003 yards, 2 td, & 2 rushes for 17 yards and 0 td",,Starters_1
SEA,1991,WR,Tommy Kane,27,3,15,"50 catches for 763 yards, 2 td",,Starters_1
SEA,1991,TE,Mike Tice,32,10,15,"10 catches for 70 yards, 4 td",,Starters_1
SEA,1991,LT,Andy Heck,24,2,16,,,Starters_1
SEA,1991,LG,Warren Wheat,24,2,7,,,Starters_1
SEA,1991,C,Grant Feasel,31,8,15,,,Starters_1
SEA,1991,RG,Bryan Millard,31,7,16,1 fumble recovered,,Starters_1
SEA,1991,RT,Bill Hitchcock,26,1,9,,,Starters_1
SEA,1991,LDE,Jacob Green,34,11,16,"6.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1
SEA,1991,LDT,Jeff Bryant,31,9,14,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
SEA,1991,RDT,Cortez Kennedy*,23,1,16,"6.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SEA,1991,RDE,Tony Woods,26,4,14,"2.0 sacks, 0 interceptions, 4 fumbles recovered",,Starters_1
SEA,1991,LLB,Terry Wooden,24,1,15,"2.0 sacks, 0 interceptions, 4 fumbles recovered",,Starters_1
SEA,1991,MLB,Darren Comeaux,31,9,11,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
SEA,1991,RLB,Rufus Porter,26,3,15,"10.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
SEA,1991,LCB,Dwayne Harper,25,3,16,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1
SEA,1991,RCB,Patrick Hunter,27,5,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
SEA,1991,SS,Robert Blackmon,24,1,16,"1.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
SEA,1991,FS,Eugene Robinson,28,6,16,"1.0 sacks, 5 interceptions, 1 fumble recovered",,Starters_1
