Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Russell Wilson*,25,1,16,"257 for 407, 3,357 yards, 26 td, 9 int, & 96 rushes for 539 yards and 1 td",,Starters_1,SEA,2013,2025-08-15 19:46:45
RB,Marshawn Lynch*,27,6,16,"301 rushes for 1,257 yards, 12 td, & 36 catches for 316 yards and 2 td",,Starters_1,SEA,2013,2025-08-15 19:46:45
WR,Doug Baldwin,25,2,9,"50 catches for 778 yards, 5 td, & 2 rushes for 6 yards and 0 td",,Starters_1,SEA,2013,2025-08-15 19:46:45
WR,Golden Tate,25,3,13,"64 catches for 898 yards, 5 td, & 3 rushes for 31 yards and 0 td",,Starters_1,SEA,2013,2025-08-15 19:46:45
TE,Zach Miller,28,6,12,"33 catches for 387 yards, 5 td",,Starters_1,SEA,2013,2025-08-15 19:46:45
TE,Luke Willson,23,Rook,7,"20 catches for 272 yards, 1 td",,Starters_1,SEA,2013,2025-08-15 19:46:45
LT,Paul McQuistan,30,7,14,,,Starters_1,SEA,2013,2025-08-15 19:46:45
LG,James Carpenter,24,2,10,,,Starters_1,SEA,2013,2025-08-15 19:46:45
C,Max Unger*,27,4,13,2 fumbles recovered,,Starters_1,SEA,2013,2025-08-15 19:46:45
RG,J.R. Sweezy,24,1,15,,,Starters_1,SEA,2013,2025-08-15 19:46:45
RT,Breno Giacomini,28,5,9,,,Starters_1,SEA,2013,2025-08-15 19:46:45
LDE,Red Bryant,29,5,15,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
LDT,Tony McDaniel,28,7,15,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
RDT,Brandon Mebane,28,6,16,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
RDE,Chris Clemons,32,9,11,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
LLB,Bruce Irvin,26,1,12,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
MLB,Bobby Wagner,23,1,14,"5.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
RLB,K.J. Wright,24,2,13,"1.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
LCB,Richard Sherman*+,25,2,16,"0.0 sacks, 8 interceptions, 2 fumbles recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
RCB,Brandon Browner,29,2,8,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
SS,Kam Chancellor*,25,3,16,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
FS,Earl Thomas*+,24,3,16,"0.0 sacks, 5 interceptions, 0 fumbles recovered",,Starters_1,SEA,2013,2025-08-15 19:46:45
