Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
SFO,1995,QB,Steve Young*,34,10,11,"299 for 447, 3,200 yards, 20 td, 11 int, & 50 rushes for 250 yards and 3 td",,Starters_1
SFO,1995,RB,Derek Loville,27,5,16,"218 rushes for 723 yards, 10 td, & 87 catches for 662 yards and 3 td",,Starters_1
SFO,1995,FB,William Floyd,23,1,8,"64 rushes for 237 yards, 2 td, & 47 catches for 348 yards and 1 td",,Starters_1
SFO,1995,WR,Jerry Rice*+,33,10,16,"122 catches for 1,848 yards, 15 td, & 5 rushes for 36 yards and 1 td",,Starters_1
SFO,1995,WR,John Taylor,33,8,12,"29 catches for 387 yards, 2 td",,Starters_1
SFO,1995,TE,Brent Jones*,32,8,16,"60 catches for 595 yards, 3 td",,Starters_1
SFO,1995,LT,Steve Wallace,31,9,12,,,Starters_1
SFO,1995,LG,Jesse Sapolu,34,12,16,,,Starters_1
SFO,1995,C,Bart Oates*,37,10,14,,,Starters_1
SFO,1995,RG,Rod Milstead,26,1,12,,,Starters_1
SFO,1995,RT,Harris Barton,31,8,12,,,Starters_1
SFO,1995,LDE,Dennis Brown,28,5,16,"1.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
SFO,1995,LDT,Bryant Young,23,1,12,"6.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
SFO,1995,RDT,Dana Stubblefield*,25,2,16,"4.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1
SFO,1995,RDE,Rickey Jackson,37,14,15,"9.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1
SFO,1995,LLB,Lee Woodall*,26,1,15,"3.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1
SFO,1995,MLB,Ken Norton Jr.*+,29,7,16,"1.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
SFO,1995,RLB,Gary Plummer,35,9,14,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
SFO,1995,LCB,Eric Davis*+,27,5,15,"1.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
SFO,1995,RCB,Marquez Pope,25,3,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
SFO,1995,SS,Tim McDonald*,30,8,16,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1
SFO,1995,FS,Merton Hanks*+,27,4,16,"0.0 sacks, 5 interceptions, 2 fumbles recovered",,Starters_1
