Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Colin Kaepernick,29,5,11,"196 for 331, 2,241 yards, 16 td, 4 int, & 69 rushes for 468 yards and 2 td",,Starters_1,SFO,2016,2025-08-15 19:45:11
RB,Carlos Hyde,26,2,13,"217 rushes for 988 yards, 6 td, & 27 catches for 163 yards and 3 td",,Starters_1,SFO,2016,2025-08-15 19:45:11
WR,Jeremy Kerley,28,5,13,"64 catches for 667 yards, 3 td",,Starters_1,SFO,2016,2025-08-15 19:45:11
WR,Vance McDonald,26,3,11,"24 catches for 391 yards, 4 td",,Starters_1,SFO,2016,2025-08-15 19:45:11
WR,Quinton Patton,26,3,14,"37 catches for 408 yards, 0 td",,Starters_1,SFO,2016,2025-08-15 19:45:11
WR,Torrey Smith,27,5,12,"20 catches for 267 yards, 3 td",,Starters_1,SFO,2016,2025-08-15 19:45:11
LT,Joe Staley,32,9,13,,,Starters_1,SFO,2016,2025-08-15 19:45:11
LG,Zane Beadles,30,6,16,1 fumble recovered,,Starters_1,SFO,2016,2025-08-15 19:45:11
C,Daniel Kilgore,29,5,13,,,Starters_1,SFO,2016,2025-08-15 19:45:11
RG,Joshua Garnett,22,Rook,11,3 fumbles recovered,,Starters_1,SFO,2016,2025-08-15 19:45:11
RT,Trent Brown,23,1,16,1 fumble recovered,,Starters_1,SFO,2016,2025-08-15 19:45:11
LDE,DeForest Buckner,22,Rook,15,"6.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
NT,Glenn Dorsey,31,8,7,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
RDE,Quinton Dial,26,3,11,,,Starters_1,SFO,2016,2025-08-15 19:45:11
LOLB,Ahmad Brooks,32,10,16,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
LILB,Nick Bellore,27,5,10,"1.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
RILB,Gerald Hodges,25,3,12,"3.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
ROLB,Eli Harold,22,1,13,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
LCB,Tramaine Brock,28,6,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
RCB,Jimmie Ward,25,2,10,"1.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
SS,Antoine Bethea,32,10,16,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
FS,Eric Reid,25,3,10,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,SFO,2016,2025-08-15 19:45:11
