Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
TAM,1996,QB,Trent Dilfer,24,2,16,"267 for 482, 2,859 yards, 12 td, 19 int, & 32 rushes for 124 yards and 0 td",,Starters_1
TAM,1996,RB,Errict Rhett,26,2,7,"176 rushes for 539 yards, 3 td, & 4 catches for 11 yards and 1 td",,Starters_1
TAM,1996,FB,Mike Alstott,23,Rook,16,"96 rushes for 377 yards, 3 td, & 65 catches for 557 yards and 3 td",,Starters_1
TAM,1996,WR,Courtney Hawkins,27,4,16,"46 catches for 544 yards, 1 td, & 1 rush for -13 yards and 0 td",,Starters_1
TAM,1996,WR,Robb Thomas,30,7,8,"33 catches for 427 yards, 2 td",,Starters_1
TAM,1996,TE,Jackie Harris,28,6,12,"30 catches for 349 yards, 1 td",,Starters_1
TAM,1996,LT,Paul Gruber,31,8,13,,,Starters_1
TAM,1996,LG,Jim Pyne,25,1,11,,,Starters_1
TAM,1996,C,Tony Mayberry,29,6,16,1 fumble recovered,,Starters_1
TAM,1996,RG,Ian Beckles,29,6,13,,,Starters_1
TAM,1996,RT,Doug Riesenberg,31,9,10,,,Starters_1
TAM,1996,LDE,Chidi Ahanotu,26,3,13,"5.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
TAM,1996,LDT,Brad Culpepper,27,4,13,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
TAM,1996,RDT,Warren Sapp,24,1,14,"9.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
TAM,1996,RDE,Regan Upshaw,21,Rook,16,"4.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
TAM,1996,LLB,Lonnie Marts,28,5,13,"7.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
TAM,1996,MLB,Hardy Nickerson*,31,9,16,"3.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1
TAM,1996,RLB,Derrick Brooks,23,1,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
TAM,1996,LCB,Martin Mayhew,31,7,16,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
TAM,1996,RCB,Donnie Abraham,23,Rook,12,"0.0 sacks, 5 interceptions, 2 fumbles recovered",,Starters_1
TAM,1996,SS,John Lynch,25,3,14,"1.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
TAM,1996,FS,Melvin Johnson,24,1,16,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
