Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Josh McCown,35,12,11,"184 for 327, 2,206 yards, 11 td, 14 int, & 25 rushes for 127 yards and 3 td",,Starters_1,TAM,2014,2025-08-15 19:48:57
RB,Doug Martin,25,2,11,"134 rushes for 494 yards, 2 td, & 13 catches for 64 yards and 0 td",,Starters_1,TAM,2014,2025-08-15 19:48:57
RB,Luke Stocker,26,3,7,"0 rushes for yards, 0 td, & 7 catches for 41 yards and 0 td",,Starters_1,TAM,2014,2025-08-15 19:48:57
WR,Mike Evans,21,Rook,15,"68 catches for 1,051 yards, 12 td",,Starters_1,TAM,2014,2025-08-15 19:48:57
WR,Vincent Jackson,31,9,16,"70 catches for 1,002 yards, 2 td",,Starters_1,TAM,2014,2025-08-15 19:48:57
TE,Austin Seferian-Jenkins,22,Rook,9,"21 catches for 221 yards, 2 td",,Starters_1,TAM,2014,2025-08-15 19:48:57
LT,Anthony Collins,29,6,10,,,Starters_1,TAM,2014,2025-08-15 19:48:57
LG,Logan Mankins,32,9,16,,,Starters_1,TAM,2014,2025-08-15 19:48:57
C,Evan Dietrich-Smith,28,5,15,,,Starters_1,TAM,2014,2025-08-15 19:48:57
RG,Patrick Omameh,25,Rook,16,,,Starters_1,TAM,2014,2025-08-15 19:48:57
RT,Demar Dotson,29,5,16,1 fumble recovered,,Starters_1,TAM,2014,2025-08-15 19:48:57
LDE,William Gholston,23,1,9,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
LDT,Gerald McCoy*,26,4,13,"8.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
RDT,Clinton McDonald,27,4,13,"5.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
RDE,Michael Johnson,27,5,13,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
LLB,Danny Lansanah,29,6,11,"1.5 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
MLB,Mason Foster,25,3,10,,,Starters_1,TAM,2014,2025-08-15 19:48:57
RLB,Lavonte David,24,2,14,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
LCB,Alterraun Verner,26,4,14,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
RCB,Johnthan Banks,25,1,14,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
SS,Mark Barron,25,2,7,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
FS,Dashon Goldson,30,7,14,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,TAM,2014,2025-08-15 19:48:57
