Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
WAS,1983,QB,Joe Theismann*+,34,9,16,"276 for 459, 3,714 yards, 29 td, 11 int, & 37 rushes for 234 yards and 1 td",,Starters_1
WAS,1983,RB,John Riggins+,34,12,15,"375 rushes for 1,347 yards, 24 td, & 5 catches for 29 yards and 0 td",,Starters_1
WAS,1983,WR,Charlie Brown*,25,1,13,"78 catches for 1,225 yards, 8 td, & 4 rushes for 53 yards and 0 td",,Starters_1
WAS,1983,WR,Art Monk,26,3,11,"47 catches for 746 yards, 5 td, & 3 rushes for -19 yards and 0 td",,Starters_1
WAS,1983,TE,Rick Walker,28,6,16,"17 catches for 168 yards, 2 td, & 2 rushes for 10 yards and 0 td",,Starters_1
WAS,1983,TE,Don Warren,27,4,13,"20 catches for 225 yards, 2 td",,Starters_1
WAS,1983,LT,Joe Jacoby*+,24,2,16,,,Starters_1
WAS,1983,LG,Russ Grimm*+,24,2,16,,,Starters_1
WAS,1983,C,Jeff Bostic*,25,3,16,3 fumbles recovered,,Starters_1
WAS,1983,RG,Mark May,24,2,15,1 fumble recovered,,Starters_1
WAS,1983,RT,George Starke,35,10,16,,,Starters_1
WAS,1983,LDE,Todd Liebenstein,23,1,15,"1.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
WAS,1983,LDT,Dave Butz*+,33,10,16,"11.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
WAS,1983,RDT,Darryl Grant,24,2,16,"2.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
WAS,1983,RDE,Dexter Manley,24,2,16,"11.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
WAS,1983,LLB,Mel Kaufman,25,2,16,"1.5 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
WAS,1983,MLB,Neal Olkewicz,26,4,16,"2.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1
WAS,1983,RLB,Rich Milot,26,4,16,"1.5 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
WAS,1983,LCB,Darrell Green,23,Rook,16,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
WAS,1983,RCB,Vernon Dean,24,1,13,"0.0 sacks, 5 interceptions, 3 fumbles recovered",,Starters_1
WAS,1983,SS,Curtis Jordan,29,7,11,"0.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1
WAS,1983,FS,Mark Murphy*+,28,6,15,"1.0 sacks, 9 interceptions, 0 fumbles recovered",,Starters_1
