No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
37,DeAundre Alford,25,CB,16,0,180,5-11,Tusculum,11/5/1997,1,1,,ATL,2022,2025-08-15 13:39:10
80,Josh Ali,23,WR,2,0,200,6-0,Kentucky,3/3/1999,Rook,0,,ATL,2022,2025-08-15 13:39:10
25,Tyler Allgeier,22,RB,16,7,225,5-10,BYU,4/15/2000,Rook,8,Atlanta Falcons / 5th / 151st pick /2022,ATL,2022,2025-08-15 13:39:10
44,Troy Andersen,23,MLB,17,5,245,6-4,Montana St.,4/23/1999,Rook,3,Atlanta Falcons / 2nd / 58th pick /2022,ATL,2022,2025-08-15 13:39:10
98,Abdullah Anderson,26,LDT,16,8,295,6-4,Bucknell,1/24/1996,3,4,,ATL,2022,2025-08-15 13:39:10
22,Cornell Armstrong,27,DB,9,4,185,6-0,Southern Miss,9/22/1995,4,1,Miami Dolphins / 6th / 209th pick /2018,ATL,2022,2025-08-15 13:39:10
56,Quinton Bell,26,LB,4,0,258,6-4,Prairie View A&M,5/9/1996,2,0,Oakland Raiders / 7th / 230th pick /2019,ATL,2022,2025-08-15 13:39:10
83,Jared Bernhardt,25,WR,2,0,195,6-1,"Maryland,Ferris St.",9/12/1997,Rook,0,,ATL,2022,2025-08-15 13:39:10
14,Damiere Byrd,29,WR,14,4,175,5-9,South Carolina,1/27/1993,6,3,,ATL,2022,2025-08-15 13:39:10
9,Lorenzo Carter,27,RLB,17,17,264,6-5,Georgia,12/10/1995,4,8,New York Giants / 3rd / 66th pick /2018,ATL,2022,2025-08-15 13:39:10
67,Drew Dalman,24,C,17,17,301,6-3,Stanford,10/15/1998,1,7,Atlanta Falcons / 4th / 114th pick /2021,ATL,2022,2025-08-15 13:39:10
79,Jalen Dalton,25,DT,7,0,288,6-5,North Carolina,8/4/1997,1,0,,ATL,2022,2025-08-15 13:39:10
88,Frank Darby,25,WR,5,0,200,6-1,Arizona St.,9/8/1997,1,0,Atlanta Falcons / 6th / 187th pick /2021,ATL,2022,2025-08-15 13:39:10
91,Matt Dickerson,27,DE,6,0,300,6-5,UCLA,11/9/1995,4,0,,ATL,2022,2025-08-15 13:39:10
