No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
76,Mike Adams,24,T,16,4,323,6-7,Ohio St.,3/10/1990,2,3,Pittsburgh Steelers / 2nd / 56th pick /2012,PIT,2014,2025-08-15 14:24:51
28,Cortez Allen,26,LCB,11,7,196,6-1,The Citadel,10/29/1988,3,3,Pittsburgh Steelers / 4th / 128th pick /2011,PIT,2014,2025-08-15 14:24:51
20,Will Allen,32,DB,16,4,202,6-1,Ohio St.,6/17/1982,10,2,Tampa Bay Buccaneers / 4th / 111th pick /2004,PIT,2014,2025-08-15 14:24:51
13,Dri Archer,23,WR,12,0,173,5-8,Kent St.,8/9/1991,Rook,0,Pittsburgh Steelers / 3rd / 97th pick /2014,PIT,2014,2025-08-15 14:24:51
68,Kelvin Beachum,25,LT,16,16,308,6-3,SMU,6/8/1989,2,8,Pittsburgh Steelers / 7th / 248th pick /2012,PIT,2014,2025-08-15 14:24:51
26,Le'Veon Bell,22,RB,16,16,225,6-1,Michigan St.,2/18/1992,1,17,Pittsburgh Steelers / 2nd / 48th pick /2013,PIT,2014,2025-08-15 14:24:51
41,Antwon Blake,24,DB,16,1,198,5-9,Texas-El Paso,8/9/1990,2,2,,PIT,2014,2025-08-15 14:24:51
27,LeGarrette Blount,28,RB,11,0,247,6-0,"East Mississippi CC,Oregon",12/5/1986,4,2,,PIT,2014,2025-08-15 14:24:51
84,Antonio Brown,26,WR,16,16,185,5-10,Central Michigan,7/10/1988,4,16,Pittsburgh Steelers / 6th / 195th pick /2010,PIT,2014,2025-08-15 14:24:51
15,Justin Brown,23,WR,8,1,207,6-3,Oklahoma,3/10/1991,Rook,1,Pittsburgh Steelers / 6th / 186th pick /2013,PIT,2014,2025-08-15 14:24:51
10,Martavis Bryant,23,WR,10,3,211,6-4,Clemson,12/20/1991,Rook,5,Pittsburgh Steelers / 4th / 118th pick /2014,PIT,2014,2025-08-15 14:24:51
66,David DeCastro,24,RG,16,16,316,6-5,Stanford,1/11/1990,2,8,Pittsburgh Steelers / 1st / 24th pick /2012,PIT,2014,2025-08-15 14:24:51
73,Ramon Foster,28,LG,14,14,328,6-5,Tennessee,1/7/1986,5,7,,PIT,2014,2025-08-15 14:24:51
