No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
2,David Akers,37,K,16,0,200,5-10,Louisville,12/9/1974,13,4,,SFO,2011,2025-08-15 14:30:33
75,Alex Boone,24,G,16,0,330,6-7,Ohio St.,5/4/1987,1,1,,SFO,2011,2025-08-15 14:30:33
53,NaVorro Bowman,23,LILB,16,16,230,6-1,Penn St.,5/28/1988,1,19,San Francisco 49ers / 3rd / 91st pick /2010,SFO,2011,2025-08-15 14:30:33
26,Tramaine Brock,23,DB,11,0,188,6-0,"Mississippi Gulf Coast CC,Minnesota,Belhaven",8/20/1988,1,1,,SFO,2011,2025-08-15 14:30:33
55,Ahmad Brooks,27,LOLB,16,16,259,6-3,Virginia,3/14/1984,5,8,Cincinnati Bengals / 3rd / 1st pick /2006Supp,SFO,2011,2025-08-15 14:30:33
25,Tarell Brown,26,RCB,16,16,190,5-11,Texas,1/6/1985,4,6,San Francisco 49ers / 5th / 147th pick /2007,SFO,2011,2025-08-15 14:30:33
51,Blake Costanzo,27,LB,16,0,235,6-1,Lafayette,4/14/1984,4,1,,SFO,2011,2025-08-15 14:30:33
15,Michael Crabtree,24,WR,15,14,215,6-1,Texas Tech,9/14/1987,2,9,San Francisco 49ers / 1st / 10th pick /2009,SFO,2011,2025-08-15 14:30:33
29,Chris Culliver,23,DB,16,0,199,6-0,South Carolina,8/17/1988,Rook,1,San Francisco 49ers / 3rd / 80th pick /2011,SFO,2011,2025-08-15 14:30:33
76,Anthony Davis,22,RT,16,16,323,6-5,Rutgers,10/11/1989,1,8,San Francisco 49ers / 1st / 11th pick /2010,SFO,2011,2025-08-15 14:30:33
85,Vernon Davis,27,TE,16,16,248,6-3,Maryland,1/31/1984,5,8,San Francisco 49ers / 1st / 6th pick /2006,SFO,2011,2025-08-15 14:30:33
24,Anthony Dixon,24,RB,16,0,239,6-1,Mississippi St.,9/24/1987,1,1,San Francisco 49ers / 6th / 173rd pick /2010,SFO,2011,2025-08-15 14:30:33
96,Demarcus Dobbs,24,DE,12,0,275,6-6,Georgia,11/30/1987,Rook,1,,SFO,2011,2025-08-15 14:30:33
