No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
50,Stephone Anthony,24,LB,10,3,245,6-3,Clemson,7/28/1992,1,2,New Orleans Saints / 1st / 31st pick /2015,NOR,2016,2025-08-15 14:17:01
72,Terron Armstead,25,LT,7,7,305,6-5,Ark-Pine Bluff,7/23/1991,3,4,New Orleans Saints / 3rd / 75th pick /2013,NOR,2016,2025-08-15 14:17:01
37,Chris Banjo,26,DB,7,0,207,5-10,SMU,2/26/1990,3,0,,NOR,2016,2025-08-15 14:17:01
97,Sam Barrington,26,LB,5,0,246,6-1,South Florida,10/5/1990,3,0,Green Bay Packers / 7th / 232nd pick /2013,NOR,2016,2025-08-15 14:17:01
48,Vonn Bell,22,DB,16,14,205,5-11,Ohio St.,12/12/1994,Rook,4,New Orleans Saints / 2nd / 61st pick /2016,NOR,2016,2025-08-15 14:17:01
40,Delvin Breaux,27,LCB,6,6,210,6-1,LSU,10/25/1989,1,2,,NOR,2016,2025-08-15 14:17:01
9,Drew Brees,37,QB,16,16,209,6-0,Purdue,1/15/1979,15,16,San Diego Chargers / 2nd / 32nd pick /2001,NOR,2016,2025-08-15 14:17:01
31,Jairus Byrd,30,FS,16,15,205,6-0,Oregon,10/7/1986,7,5,Buffalo Bills / 2nd / 42nd pick /2009,NOR,2016,2025-08-15 14:17:01
38,Travaris Cadet,27,RB,15,1,210,6-1,Appalachian St.,2/1/1989,4,3,,NOR,2016,2025-08-15 14:17:01
39,Taveze Calhoun,24,DB,1,0,188,6-1,Mississippi St.,12/26/1992,Rook,0,,NOR,2016,2025-08-15 14:17:01
16,Brandon Coleman,24,WR,16,4,225,6-6,Rutgers,6/22/1992,1,2,,NOR,2016,2025-08-15 14:17:01
10,Brandin Cooks,23,WR,16,12,193,5-10,Oregon St.,9/25/1993,2,11,New Orleans Saints / 1st / 20th pick /2014,NOR,2016,2025-08-15 14:17:01
46,Ken Crawley,23,RCB,15,5,180,6-1,Colorado,2/8/1993,Rook,2,,NOR,2016,2025-08-15 14:17:01
