No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
21,Ameer Abdullah,23,RB,2,2,203,5-9,Nebraska,6/13/1993,1,1,Detroit Lions / 2nd / 54th pick /2015,DET,2016,2025-08-15 13:58:44
94,Ezekiel Ansah,27,RDE,13,13,275,6-5,BYU,5/29/1989,3,5,Detroit Lions / 1st / 5th pick /2013,DET,2016,2025-08-15 13:58:44
50,Thurston Armbrister,24,LB,14,2,239,6-2,Miami (FL),12/25/1992,1,2,,DET,2016,2025-08-15 13:58:44
29,Johnson Bademosi,26,DB,16,3,219,6-0,Stanford,7/23/1990,4,2,,DET,2016,2025-08-15 13:58:44
39,Johnthan Banks,27,DB,2,0,185,6-2,Mississippi St.,10/3/1989,3,0,Tampa Bay Buccaneers / 2nd / 43rd pick /2013,DET,2016,2025-08-15 13:58:44
38,Adairius Barnes,22,DB,7,1,188,5-11,Louisiana Tech,4/30/1994,Rook,1,,DET,2016,2025-08-15 13:58:44
44,Joique Bell,30,RB,3,0,220,5-11,Wayne State (MI),8/4/1986,6,0,,DET,2016,2025-08-15 13:58:44
80,Anquan Boldin,36,WR,16,16,220,6-1,Florida St.,10/3/1980,13,5,Arizona Cardinals / 2nd / 54th pick /2003,DET,2016,2025-08-15 13:58:44
97,Armonty Bryant,26,DE,5,0,265,6-4,East Central (OK),5/20/1990,3,1,Cleveland Browns / 7th / 217th pick /2013,DET,2016,2025-08-15 13:58:44
46,Michael Burton,24,RB,15,0,247,6-0,Rutgers,2/1/1992,1,0,Detroit Lions / 5th / 168th pick /2015,DET,2016,2025-08-15 13:58:44
31,Rafael Bush,29,DB,16,4,203,5-11,South Carolina St.,5/12/1987,5,3,,DET,2016,2025-08-15 13:58:44
41,Crezdon Butler,29,DB,1,0,183,6-0,Clemson,5/26/1987,6,0,Pittsburgh Steelers / 5th / 164th pick /2010,DET,2016,2025-08-15 13:58:44
57,Josh Bynes,27,LLB/RLB,9,8,240,6-1,Auburn,8/24/1989,5,3,,DET,2016,2025-08-15 13:58:44
26,Don Carey,29,DB,14,0,202,5-11,Norfolk St.,2/14/1987,6,1,Cleveland Browns / 6th / 177th pick /2009,DET,2016,2025-08-15 13:58:44
33,Alex Carter,22,DB,1,0,201,6-0,Stanford,10/19/1994,Rook,0,Detroit Lions / 3rd / 80th pick /2015,DET,2016,2025-08-15 13:58:44
84,Orson Charles,25,TE,2,0,257,6-3,Georgia,1/27/1991,4,0,Cincinnati Bengals / 4th / 116th pick /2012,DET,2016,2025-08-15 13:58:44
96,Stefan Charles,28,DT,12,0,302,6-5,Regina,6/9/1988,3,1,,DET,2016,2025-08-15 13:58:44
51,Brandon Copeland,25,LB,16,1,263,6-3,Pennsylvania,7/2/1991,1,1,,DET,2016,2025-08-15 13:58:44
66,Joe Dahl,23,G,6,0,310,6-4,Washington St.,4/9/1993,Rook,1,Detroit Lions / 5th / 151st pick /2016,DET,2016,2025-08-15 13:58:44
68,Taylor Decker,23,LT,16,16,324,6-7,Ohio St.,8/23/1993,Rook,8,Detroit Lions / 1st / 16th pick /2016,DET,2016,2025-08-15 13:58:44
28,Quandre Diggs,23,DB,12,4,197,5-9,Texas,1/22/1993,1,2,Detroit Lions / 6th / 200th pick /2015,DET,2016,2025-08-15 13:58:44
85,Eric Ebron,23,TE,13,13,253,6-4,North Carolina,4/10/1993,2,6,Detroit Lions / 1st / 10th pick /2014,DET,2016,2025-08-15 13:58:44
30,Justin Forsett,31,RB,2,0,195,5-8,California,10/14/1985,8,0,Seattle Seahawks / 7th / 233rd pick /2008,DET,2016,2025-08-15 13:58:44
95,Wallace Gilberry,32,DE,4,1,267,6-3,Alabama,12/5/1984,8,1,,DET,2016,2025-08-15 13:58:44
60,Graham Glasgow,24,LG,15,11,315,6-6,Michigan,7/19/1992,Rook,6,Detroit Lions / 3rd / 95th pick /2016,DET,2016,2025-08-15 13:58:44
47,Zaviar Gooden,26,LB,1,0,234,6-2,Missouri,8/31/1990,3,0,Tennessee Titans / 3rd / 97th pick /2013,DET,2016,2025-08-15 13:58:44
84,Clay Harbor,29,TE,12,2,240,6-3,Missouri State,7/2/1987,6,0,Philadelphia Eagles / 4th / 125th pick /2010,DET,2016,2025-08-15 13:58:44
61,Kerry Hyder,25,DE,16,2,275,6-2,Texas Tech,5/2/1991,1,3,,DET,2016,2025-08-15 13:58:44
30,Asa Jackson,27,DB,4,2,193,5-10,Cal Poly-San Luis Obispo,12/2/1989,4,1,Baltimore Ravens / 5th / 169th pick /2012,DET,2016,2025-08-15 13:58:44
11,Marvin Jones,26,WR,15,15,199,6-2,California,3/12/1990,4,8,Cincinnati Bengals / 5th / 166th pick /2012,DET,2016,2025-08-15 13:58:44
13,T.J. Jones,24,WR,3,0,190,6-0,Notre Dame,7/19/1992,1,1,Detroit Lions / 6th / 189th pick /2014,DET,2016,2025-08-15 13:58:44
35,Miles Killebrew,23,DB,16,0,222,6-2,Southern Utah,5/10/1993,Rook,1,Detroit Lions / 4th / 111th pick /2016,DET,2016,2025-08-15 13:58:44
24,Nevin Lawson,25,RCB,16,16,192,5-9,Utah St.,4/23/1991,2,5,Detroit Lions / 4th / 133rd pick /2014,DET,2016,2025-08-15 13:58:44
86,Khari Lee,24,TE,8,0,253,6-4,Bowie St.,1/16/1992,1,0,,DET,2016,2025-08-15 13:58:44
54,DeAndre Levy,29,LB,5,3,230,6-2,Wisconsin,3/26/1987,7,1,Detroit Lions / 3rd / 76th pick /2009,DET,2016,2025-08-15 13:58:44
58,Steve Longa,22,LB,1,0,240,6-0,Rutgers,9/29/1994,Rook,0,,DET,2016,2025-08-15 13:58:44
77,Cornelius Lucas,25,T,5,0,327,6-8,Kansas St.,7/18/1991,2,0,,DET,2016,2025-08-15 13:58:44
6,Sam Martin,26,P,16,0,205,6-1,Appalachian St.,2/27/1990,3,3,Detroit Lions / 5th / 165th pick /2013,DET,2016,2025-08-15 13:58:44
48,Don Muhlbach,35,LS,16,0,258,6-4,Texas A&M,8/17/1981,12,2,,DET,2016,2025-08-15 13:58:44
82,Matthew Mulligan,31,TE,8,0,258,6-4,Maine,1/18/1985,7,0,,DET,2016,2025-08-15 13:58:44
92,Haloti Ngata,32,RDT,13,13,340,6-4,Oregon,1/21/1984,10,5,Baltimore Ravens / 1st / 12th pick /2006,DET,2016,2025-08-15 13:58:44
5,Matt Prater,32,K,16,0,201,5-10,Central Florida,8/10/1984,9,4,,DET,2016,2025-08-15 13:58:44
27,Glover Quin,30,FS,16,16,207,6-0,"Southwest Mississippi CC,New Mexico",1/15/1986,7,6,Houston Texans / 4th / 112th pick /2009,DET,2016,2025-08-15 13:58:44
71,Riley Reiff,28,RT,14,14,310,6-6,Iowa,12/1/1988,4,7,Detroit Lions / 1st / 23rd pick /2012,DET,2016,2025-08-15 13:58:44
73,Garrett Reynolds,29,G,0,0,310,6-7,North Carolina,7/1/1987,7,0,Atlanta Falcons / 5th / 156th pick /2009,DET,2016,2025-08-15 13:58:44
25,Theo Riddick,25,RB,10,8,201,5-9,Notre Dame,5/4/1991,3,6,Detroit Lions / 6th / 199th pick /2013,DET,2016,2025-08-15 13:58:44
12,Andre Roberts,28,WR,16,1,195,5-11,The Citadel,1/9/1988,6,4,Arizona Cardinals / 3rd / 88th pick /2010,DET,2016,2025-08-15 13:58:44
91,A'Shawn Robinson,21,LDT,16,5,320,6-3,Alabama,3/21/1995,Rook,3,Detroit Lions / 2nd / 46th pick /2016,DET,2016,2025-08-15 13:58:44
70,Corey Robinson,24,T,14,3,315,6-7,South Carolina,5/21/1992,1,3,Detroit Lions / 7th / 240th pick /2015,DET,2016,2025-08-15 13:58:44
23,Darius Slay,25,LCB,13,13,192,6-0,Mississippi St.,1/1/1991,3,5,Detroit Lions / 2nd / 36th pick /2013,DET,2016,2025-08-15 13:58:44
9,Matthew Stafford,28,QB,16,16,214,6-3,Georgia,2/7/1988,7,14,Detroit Lions / 1st / 1st pick /2009,DET,2016,2025-08-15 13:58:44
64,Travis Swanson,25,C,12,12,304,6-5,Arkansas,1/30/1991,2,6,Detroit Lions / 3rd / 76th pick /2014,DET,2016,2025-08-15 13:58:44
15,Golden Tate,28,WR,16,16,197,5-10,Notre Dame,8/2/1988,6,9,Seattle Seahawks / 2nd / 60th pick /2010,DET,2016,2025-08-15 13:58:44
98,Devin Taylor,27,LDE,16,16,266,6-7,South Carolina,11/15/1989,3,7,Detroit Lions / 4th / 132nd pick /2013,DET,2016,2025-08-15 13:58:44
99,Khyri Thornton,27,RDT,13,6,304,6-3,Southern Miss,11/21/1989,1,3,Green Bay Packers / 3rd / 85th pick /2014,DET,2016,2025-08-15 13:58:44
72,Laken Tomlinson,24,LG,16,10,323,6-3,Duke,2/9/1992,1,6,Detroit Lions / 1st / 28th pick /2015,DET,2016,2025-08-15 13:58:44
53,Kyle Van Noy,25,RLB,7,7,255,6-3,BYU,3/26/1991,2,3,Detroit Lions / 2nd / 40th pick /2014,DET,2016,2025-08-15 13:58:44
93,Tyrunn Walker,26,LDT,15,8,310,6-3,Tulsa,3/18/1990,3,4,,DET,2016,2025-08-15 13:58:44
75,Larry Warford,25,RG,15,15,317,6-3,Kentucky,6/18/1991,3,8,Detroit Lions / 3rd / 65th pick /2013,DET,2016,2025-08-15 13:58:44
36,Dwayne Washington,22,RB,12,2,223,6-1,Washington,4/24/1994,Rook,2,Detroit Lions / 7th / 236th pick /2016,DET,2016,2025-08-15 13:58:44
59,Tahir Whitehead,26,MLB,15,15,241,6-2,Temple,4/2/1990,4,7,Detroit Lions / 5th / 138th pick /2012,DET,2016,2025-08-15 13:58:44
89,Cole Wick,23,TE,6,0,257,6-6,Incarnate Word,11/30/1993,Rook,0,,DET,2016,2025-08-15 13:58:44
52,Antwione Williams,23,LB,14,3,247,6-3,Georgia Southern,5/26/1993,Rook,2,Detroit Lions / 5th / 169th pick /2016,DET,2016,2025-08-15 13:58:44
32,Tavon Wilson,26,SS,15,14,208,6-0,Illinois,3/19/1990,4,5,New England Patriots / 2nd / 48th pick /2012,DET,2016,2025-08-15 13:58:44
34,Zach Zenner,25,RB,14,4,224,5-11,South Dakota St.,9/13/1991,1,4,,DET,2016,2025-08-15 13:58:44
69,Anthony Zettel,24,DE,13,0,275,6-4,Penn St.,8/9/1992,Rook,1,Detroit Lions / 6th / 202nd pick /2016,DET,2016,2025-08-15 13:58:44
