No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
11,Kamar Aiken,27,WR,16,6,216,6-2,Central Florida,5/30/1989,5,2,,RAV,2016,2025-08-15 15:05:06
37,Javorius Allen,25,RB,8,0,218,6-0,USC,8/27/1991,1,0,Baltimore Ravens / 4th / 125th pick /2015,RAV,2016,2025-08-15 15:05:06
45,Brennen Beyer,24,DE,1,0,256,6-4,Michigan,11/25/1992,Rook,0,,RAV,2016,2025-08-15 15:05:06
86,Nick Boyle,23,TE,6,0,270,6-4,Delaware,2/17/1993,1,0,Baltimore Ravens / 5th / 171st pick /2015,RAV,2016,2025-08-15 15:05:06
83,Daniel Brown,24,WR,2,0,247,6-5,James Madison,5/26/1992,1,0,,RAV,2016,2025-08-15 15:05:06
12,Michael Campanaro,25,WR,3,0,191,5-9,Wake Forest,1/25/1991,2,0,Baltimore Ravens / 7th / 218th pick /2014,RAV,2016,2025-08-15 15:05:06
39,Maurice Canady,22,DB,4,0,193,6-1,Virginia,5/26/1994,Rook,0,Baltimore Ravens / 6th / 209th pick /2016,RAV,2016,2025-08-15 15:05:06
56,Chris Carter,27,LB,5,0,245,6-1,Fresno St.,4/6/1989,5,0,Pittsburgh Steelers / 5th / 162nd pick /2011,RAV,2016,2025-08-15 15:05:06
51,Kamalei Correa,22,LB,9,1,241,6-3,Boise St.,4/27/1994,Rook,1,Baltimore Ravens / 2nd / 42nd pick /2016,RAV,2016,2025-08-15 15:05:06
46,Morgan Cox,30,LS,16,0,233,6-4,Tennessee,4/26/1986,6,3,,RAV,2016,2025-08-15 15:05:06
40,Robertson Daniel,25,DB,1,0,205,6-1,BYU,10/1/1991,Rook,0,,RAV,2016,2025-08-15 15:05:06
31,Will Davis,26,DB,3,0,186,5-11,Utah St.,5/8/1990,3,0,Miami Dolphins / 3rd / 93rd pick /2013,RAV,2016,2025-08-15 15:05:06
30,Kenneth Dixon,22,RB,12,0,228,5-10,Louisiana Tech,1/21/1994,Rook,3,Baltimore Ravens / 4th / 134th pick /2016,RAV,2016,2025-08-15 15:05:06
62,Vlad Ducasse,29,RG,10,8,329,6-5,Massachusetts,10/15/1987,6,3,New York Jets / 2nd / 61st pick /2010,RAV,2016,2025-08-15 15:05:06
58,Elvis Dumervil,32,LB,8,3,250,5-11,Louisville,1/19/1984,10,2,Denver Broncos / 4th / 126th pick /2006,RAV,2016,2025-08-15 15:05:06
33,Matt Elam,25,DB,9,0,208,5-10,Florida,9/2/1991,3,1,Baltimore Ravens / 1st / 32nd pick /2013,RAV,2016,2025-08-15 15:05:06
5,Joe Flacco,31,QB,16,16,245,6-6,"Pittsburgh,Delaware",1/16/1985,8,9,Baltimore Ravens / 1st / 18th pick /2008,RAV,2016,2025-08-15 15:05:06
29,Justin Forsett,31,RB,3,3,195,5-8,California,10/14/1985,8,1,Seattle Seahawks / 7th / 233rd pick /2008,RAV,2016,2025-08-15 15:05:06
80,Crockett Gillmore,25,TE,7,5,260,6-6,Colorado St.,11/16/1991,2,0,Baltimore Ravens / 3rd / 99th pick /2014,RAV,2016,2025-08-15 15:05:06
93,Lawrence Guy,26,RDE,16,10,315,6-4,Arizona St.,3/17/1990,4,6,Green Bay Packers / 7th / 233rd pick /2011,RAV,2016,2025-08-15 15:05:06
14,Devin Hester,34,WR,12,0,190,5-11,Miami (FL),11/4/1982,10,0,Chicago Bears / 2nd / 57th pick /2006,RAV,2016,2025-08-15 15:05:06
42,Marqueston Huff,24,DB,11,0,196,5-11,Wyoming,4/6/1992,2,1,Tennessee Titans / 4th / 122nd pick /2014,RAV,2016,2025-08-15 15:05:06
74,James Hurst,25,T,16,3,310,6-5,North Carolina,12/17/1991,2,2,,RAV,2016,2025-08-15 15:05:06
66,Ryan Jensen,25,G,7,3,319,6-4,Colorado State-Pueblo,5/27/1991,2,2,Baltimore Ravens / 6th / 203rd pick /2013,RAV,2016,2025-08-15 15:05:06
99,Timmy Jernigan,24,LDE,16,15,295,6-2,Florida St.,9/24/1992,2,8,Baltimore Ravens / 2nd / 48th pick /2014,RAV,2016,2025-08-15 15:05:06
91,Matt Judon,24,LB,14,0,275,6-3,Grand Valley St.,8/15/1992,Rook,2,Baltimore Ravens / 5th / 146th pick /2016,RAV,2016,2025-08-15 15:05:06
44,Kyle Juszczyk,25,RB,16,7,235,6-1,Harvard,4/23/1991,3,2,Baltimore Ravens / 4th / 130th pick /2013,RAV,2016,2025-08-15 15:05:06
4,Sam Koch,34,P,16,0,222,6-1,Nebraska,8/13/1982,10,2,Baltimore Ravens / 6th / 203rd pick /2006,RAV,2016,2025-08-15 15:05:06
41,Anthony Levine,29,DB,16,0,207,5-11,Tennessee St.,3/27/1987,4,1,,RAV,2016,2025-08-15 15:05:06
72,Alex Lewis,24,LG,10,8,305,6-6,"Colorado,Nebraska",4/21/1992,Rook,3,Baltimore Ravens / 4th / 130th pick /2016,RAV,2016,2025-08-15 15:05:06
23,Kendrick Lewis,28,DB,6,0,205,6-0,Mississippi,6/16/1988,6,0,Kansas City Chiefs / 5th / 136th pick /2010,RAV,2016,2025-08-15 15:05:06
31,Chris Lewis-Harris,27,DB,7,0,198,6-1,Chattanooga,2/11/1989,4,0,,RAV,2016,2025-08-15 15:05:06
15,Ryan Mallett,28,QB,4,0,240,6-6,"Michigan,Arkansas",6/5/1988,4,0,New England Patriots / 3rd / 74th pick /2011,RAV,2016,2025-08-15 15:05:06
50,Albert McClellan,30,ROLB,16,11,235,6-2,Marshall,6/4/1986,5,6,,RAV,2016,2025-08-15 15:05:06
10,Chris Moore,23,WR,15,0,200,6-1,Cincinnati,6/16/1993,Rook,0,Baltimore Ravens / 4th / 107th pick /2016,RAV,2016,2025-08-15 15:05:06
57,C.J. Mosley,24,LILB,14,14,231,6-2,Alabama,6/19/1992,2,13,Baltimore Ravens / 1st / 17th pick /2014,RAV,2016,2025-08-15 15:05:06
48,Patrick Onwuasor,24,LB,11,1,227,6-0,"Arizona,Portland St.",8/22/1992,Rook,1,,RAV,2016,2025-08-15 15:05:06
54,Zach Orr,24,RILB,15,15,237,6-0,North Texas,6/9/1992,2,15,,RAV,2016,2025-08-15 15:05:06
18,Breshad Perriman,23,WR,16,1,215,6-2,Central Florida,9/10/1993,1,3,Baltimore Ravens / 1st / 26th pick /2015,RAV,2016,2025-08-15 15:05:06
78,Michael Pierce,24,DT,16,1,355,6-0,Samford,11/6/1992,Rook,2,,RAV,2016,2025-08-15 15:05:06
88,Dennis Pitta,31,TE,16,12,245,6-4,BYU,6/29/1985,6,5,Baltimore Ravens / 4th / 114th pick /2010,RAV,2016,2025-08-15 15:05:06
26,Jerraud Powers,29,DB,13,6,190,5-9,Auburn,7/19/1987,7,4,Indianapolis Colts / 3rd / 92nd pick /2009,RAV,2016,2025-08-15 15:05:06
27,Sheldon Price,25,DB,4,1,198,6-2,UCLA,3/26/1991,1,1,,RAV,2016,2025-08-15 15:05:06
22,Jimmy Smith,28,RCB,11,11,210,6-2,Colorado,7/26/1988,5,4,Baltimore Ravens / 1st / 27th pick /2011,RAV,2016,2025-08-15 15:05:06
89,Steve Smith Sr.,37,WR,14,14,195,5-9,"Santa Monica College (CA),Utah",5/12/1979,15,5,Carolina Panthers / 3rd / 74th pick /2001,RAV,2016,2025-08-15 15:05:06
90,Za'Darius Smith,24,DE,13,4,270,6-4,"East Mississippi CC,Kentucky",9/8/1992,1,3,Baltimore Ravens / 4th / 122nd pick /2015,RAV,2016,2025-08-15 15:05:06
79,Ronnie Stanley,22,LT,12,12,310,6-6,Notre Dame,3/18/1994,Rook,5,Baltimore Ravens / 1st / 6th pick /2016,RAV,2016,2025-08-15 15:05:06
55,Terrell Suggs,34,LOLB,15,15,265,6-3,Arizona St.,10/11/1982,13,7,Baltimore Ravens / 1st / 10th pick /2003,RAV,2016,2025-08-15 15:05:06
34,Lorenzo Taliaferro,25,RB,3,0,229,6-0,"Lackawanna,Coastal Carolina",12/23/1991,2,0,Baltimore Ravens / 4th / 138th pick /2014,RAV,2016,2025-08-15 15:05:06
9,Justin Tucker,27,K,16,0,191,6-1,Texas,11/21/1989,4,8,,RAV,2016,2025-08-15 15:05:06
96,Brent Urban,25,DE,16,0,309,6-7,Virginia,5/5/1991,1,2,Baltimore Ravens / 4th / 134th pick /2014,RAV,2016,2025-08-15 15:05:06
64,John Urschel,25,G,13,3,313,6-3,Penn St.,6/24/1991,2,2,Baltimore Ravens / 5th / 175th pick /2014,RAV,2016,2025-08-15 15:05:06
71,Ricky Wagner,27,RT,15,14,313,6-6,Wisconsin,10/21/1989,3,6,Baltimore Ravens / 5th / 168th pick /2013,RAV,2016,2025-08-15 15:05:06
17,Mike Wallace,30,WR,16,16,200,6-0,Mississippi,8/1/1986,7,7,Pittsburgh Steelers / 3rd / 84th pick /2009,RAV,2016,2025-08-15 15:05:06
84,Darren Waller,24,WR,12,3,238,6-6,Georgia Tech,9/13/1992,1,1,Baltimore Ravens / 6th / 204th pick /2015,RAV,2016,2025-08-15 15:05:06
21,Lardarius Webb,31,FS,16,16,179,5-10,Nicholls St.,10/12/1985,7,7,Baltimore Ravens / 3rd / 88th pick /2009,RAV,2016,2025-08-15 15:05:06
32,Eric Weddle,31,SS,16,16,195,5-11,Utah,1/4/1985,9,10,San Diego Chargers / 2nd / 37th pick /2007,RAV,2016,2025-08-15 15:05:06
28,Terrance West,25,RB,16,13,225,5-10,Towson,1/28/1991,2,6,Cleveland Browns / 3rd / 94th pick /2014,RAV,2016,2025-08-15 15:05:06
98,Brandon Williams,27,NT,16,16,336,6-1,Missouri Southern,2/21/1989,3,8,Baltimore Ravens / 3rd / 94th pick /2013,RAV,2016,2025-08-15 15:05:06
87,Maxx Williams,22,TE,4,0,252,6-4,Minnesota,4/12/1994,1,0,Baltimore Ravens / 2nd / 55th pick /2015,RAV,2016,2025-08-15 15:05:06
24,Shareece Wright,29,LCB,12,9,184,5-11,USC,4/8/1987,5,4,San Diego Chargers / 3rd / 89th pick /2011,RAV,2016,2025-08-15 15:05:06
73,Marshal Yanda,32,LG/RG,13,13,305,6-3,Iowa,9/15/1984,9,9,Baltimore Ravens / 3rd / 86th pick /2007,RAV,2016,2025-08-15 15:05:06
36,Tavon Young,22,LCB,16,11,185,5-9,Temple,3/14/1994,Rook,6,Baltimore Ravens / 4th / 104th pick /2016,RAV,2016,2025-08-15 15:05:06
53,Jeremy Zuttah,30,C,16,16,303,6-4,Rutgers,6/1/1986,8,9,Tampa Bay Buccaneers / 3rd / 83rd pick /2008,RAV,2016,2025-08-15 15:05:06
