No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
37,Jahleel Addae,28,SS,16,16,195,5-10,Central Michigan,1/24/1990,5,6,,SDG,2018,2025-08-15 15:09:27
13,Keenan Allen,26,WR,16,14,211,6-2,California,4/27/1992,5,12,San Diego Chargers / 3rd / 76th pick /2013,SDG,2018,2025-08-15 15:09:27
4,Michael Badgley,23,K,10,0,188,5-10,Miami (FL),7/28/1995,Rook,3,,SDG,2018,2025-08-15 15:09:27
72,Joe Barksdale,30,T,6,1,326,6-5,LSU,1/4/1988,7,1,Oakland Raiders / 3rd / 92nd pick /2011,SDG,2018,2025-08-15 15:09:27
12,Travis Benjamin,29,WR,12,3,175,5-10,Miami (FL),12/29/1989,6,2,Cleveland Browns / 4th / 100th pick /2012,SDG,2018,2025-08-15 15:09:27
99,Joey Bosa,23,LDE,7,6,280,6-5,Ohio St.,7/11/1995,2,4,San Diego Chargers / 1st / 3rd pick /2016,SDG,2018,2025-08-15 15:09:27
57,Jatavis Brown,24,LLB,15,10,221,5-11,Akron,2/18/1994,2,5,San Diego Chargers / 5th / 175th pick /2016,SDG,2018,2025-08-15 15:09:27
,Sean Culkin,25,TE,13,10,255,6-5,Missouri,6/11/1993,1,0,,SDG,2018,2025-08-15 15:09:27
11,Geremy Davis,26,WR,14,0,211,6-3,Connecticut,1/10/1992,3,0,New York Giants / 6th / 186th pick /2015,SDG,2018,2025-08-15 15:09:27
,Michael Davis,23,LCB,16,9,196,6-2,BYU,1/6/1995,1,3,,SDG,2018,2025-08-15 15:09:27
48,Nick Dzubnar,27,LB,16,0,240,6-1,Cal Poly-San Luis Obispo,8/15/1991,3,1,,SDG,2018,2025-08-15 15:09:27
,Austin Ekeler,23,RB,14,3,200,5-9,Western St. (CO),5/17/1995,1,8,,SDG,2018,2025-08-15 15:09:27
56,Emmanuel Ellerbee,22,LB,3,0,235,6-1,Rice,11/20/1996,Rook,0,,SDG,2018,2025-08-15 15:09:27
51,Kyle Emanuel,27,RLB,16,7,250,6-3,North Dakota St.,8/16/1991,3,4,San Diego Chargers / 5th / 153rd pick /2015,SDG,2018,2025-08-15 15:09:27
36,Brandon Facyson,24,DB,15,0,197,6-2,Virginia Tech,9/8/1994,Rook,1,,SDG,2018,2025-08-15 15:09:27
,Dan Feeney,24,LG,16,16,310,6-4,Indiana,5/29/1994,1,9,Los Angeles Chargers / 3rd / 71st pick /2017,SDG,2018,2025-08-15 15:09:27
85,Antonio Gates,38,TE,16,1,255,6-4,Kent St.,6/18/1980,15,3,,SDG,2018,2025-08-15 15:09:27
28,Melvin Gordon,25,RB,12,12,215,6-1,Wisconsin,4/13/1993,3,11,San Diego Chargers / 1st / 15th pick /2015,SDG,2018,2025-08-15 15:09:27
88,Virgil Green,30,TE,16,16,255,6-5,Nevada,8/3/1988,7,2,Denver Broncos / 7th / 204th pick /2011,SDG,2018,2025-08-15 15:09:27
26,Casey Hayward,29,RCB,16,16,192,5-11,Vanderbilt,9/9/1989,6,5,Green Bay Packers / 2nd / 62nd pick /2012,SDG,2018,2025-08-15 15:09:27
86,Hunter Henry,24,TE,0,0,249,6-5,Arkansas,12/7/1994,2,0,San Diego Chargers / 2nd / 35th pick /2016,SDG,2018,2025-08-15 15:09:27
54,Melvin Ingram,29,RDE,16,16,247,6-2,South Carolina,4/26/1989,6,11,San Diego Chargers / 1st / 18th pick /2012,SDG,2018,2025-08-15 15:09:27
32,Justin Jackson,22,RB,13,1,200,6-0,Northwestern,4/22/1996,Rook,3,Los Angeles Chargers / 7th / 251st pick /2018,SDG,2018,2025-08-15 15:09:27
33,Derwin James,22,FS,16,16,215,6-2,Florida St.,8/3/1996,Rook,10,Los Angeles Chargers / 1st / 17th pick /2018,SDG,2018,2025-08-15 15:09:27
,Rayshawn Jenkins,24,DB,15,1,220,6-1,Miami (FL),1/25/1994,1,1,Los Angeles Chargers / 4th / 113th pick /2017,SDG,2018,2025-08-15 15:09:27
58,Tre'von Johnson,23,LB,4,0,232,6-2,Weber St.,2/10/1995,Rook,0,,SDG,2018,2025-08-15 15:09:27
5,Donnie Jones,38,P,12,0,221,6-2,LSU,7/5/1980,14,1,Seattle Seahawks / 7th / 224th pick /2004,SDG,2018,2025-08-15 15:09:27
89,JJ Jones,26,WR,3,0,174,5-10,West Georgia,12/6/1992,Rook,0,,SDG,2018,2025-08-15 15:09:27
91,Justin Jones,22,DT,15,0,300,6-3,North Carolina St.,8/28/1996,Rook,1,Los Angeles Chargers / 3rd / 84th pick /2018,SDG,2018,2025-08-15 15:09:27
8,Drew Kaser,25,P,4,0,206,6-2,Texas A&M,2/11/1993,2,0,San Diego Chargers / 6th / 179th pick /2016,SDG,2018,2025-08-15 15:09:27
,Desmond King,24,DB,16,8,201,5-10,Iowa,12/14/1994,1,9,Los Angeles Chargers / 5th / 151st pick /2017,SDG,2018,2025-08-15 15:09:27
77,Forrest Lamp,24,G,2,0,310,6-4,Western Kentucky,2/20/1994,1,0,Los Angeles Chargers / 2nd / 38th pick /2017,SDG,2018,2025-08-15 15:09:27
46,Chris Landrum,26,LB,7,0,245,6-2,"Auburn,Jacksonville St.",9/14/1992,2,1,,SDG,2018,2025-08-15 15:09:27
94,Corey Liuget,28,DT,6,3,300,6-2,Illinois,3/18/1990,7,2,San Diego Chargers / 1st / 18th pick /2011,SDG,2018,2025-08-15 15:09:27
29,Craig Mager,26,DB,1,0,200,5-11,Texas St.,6/11/1992,3,0,San Diego Chargers / 3rd / 83rd pick /2015,SDG,2018,2025-08-15 15:09:27
