No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
28,Phillip Adams,25,DB,16,2,193,6-0,South Carolina St.,7/20/1988,3,2,San Francisco 49ers / 7th / 224th pick /2010,RAI,2013,2025-08-15 14:26:48
69,Khalif Barnes,31,LT/LG,16,16,320,6-6,Washington,4/21/1982,8,6,Jacksonville Jaguars / 2nd / 52nd pick /2005,RAI,2013,2025-08-15 14:26:48
96,Christo Bilukidi,24,DE,5,0,290,6-5,"Eastern Arizona,Georgia St.",12/13/1989,1,0,Oakland Raiders / 6th / 189th pick /2012,RAI,2013,2025-08-15 14:26:48
33,Tyvon Branch,27,DB,2,2,197,5-11,Connecticut,12/11/1986,5,1,Oakland Raiders / 4th / 100th pick /2008,RAI,2013,2025-08-15 14:26:48
65,Mike Brisiel,30,RG,15,15,310,6-5,Colorado St.,3/14/1983,6,6,,RAI,2013,2025-08-15 14:26:48
95,Kaelin Burnett,24,DE,16,0,240,6-4,Nevada,9/6/1989,1,1,,RAI,2013,2025-08-15 14:26:48
94,Kevin Burnett,31,LLB,16,16,230,6-3,Tennessee,12/24/1982,8,7,Dallas Cowboys / 2nd / 42nd pick /2005,RAI,2013,2025-08-15 14:26:48
56,Miles Burris,25,LB,6,0,241,6-2,San Diego St.,6/27/1988,1,1,Oakland Raiders / 4th / 129th pick /2012,RAI,2013,2025-08-15 14:26:48
19,Brice Butler,23,WR,10,2,211,6-3,"USC,San Diego St.",1/29/1990,Rook,1,Oakland Raiders / 7th / 209th pick /2013,RAI,2013,2025-08-15 14:26:48
37,Chance Casey,22,DB,2,0,190,5-11,Baylor,3/11/1991,Rook,0,,RAI,2013,2025-08-15 14:26:48
35,Chimdi Chekwa,25,DB,15,1,190,5-11,Ohio St.,9/7/1988,2,1,Oakland Raiders / 4th / 113th pick /2011,RAI,2013,2025-08-15 14:26:48
59,Jon Condo,32,LS,16,0,240,6-3,Maryland,8/26/1981,8,2,,RAI,2013,2025-08-15 14:26:48
72,Jack Cornell,24,G,1,0,315,6-6,Illinois,6/4/1989,Rook,0,,RAI,2013,2025-08-15 14:26:48
91,Jack Crawford,25,DE,15,0,288,6-5,Penn St.,9/7/1988,1,1,Oakland Raiders / 5th / 158th pick /2012,RAI,2013,2025-08-15 14:26:48
84,Juron Criner,24,WR,1,0,224,6-3,Arizona,12/12/1989,1,0,Oakland Raiders / 5th / 168th pick /2012,RAI,2013,2025-08-15 14:26:48
15,Matt Flynn,28,QB,2,1,228,6-2,LSU,6/20/1985,5,1,Green Bay Packers / 7th / 209th pick /2008,RAI,2013,2025-08-15 14:26:48
12,Jacoby Ford,26,WR,14,1,181,5-9,Clemson,7/27/1987,3,1,Oakland Raiders / 4th / 108th pick /2010,RAI,2013,2025-08-15 14:26:48
64,Andre Gurode,35,C,10,4,334,6-4,Colorado,3/6/1978,11,2,Dallas Cowboys / 2nd / 37th pick /2002,RAI,2013,2025-08-15 14:26:48
25,D.J. Hayden,23,DB,8,2,190,5-11,Houston,6/27/1990,Rook,1,Oakland Raiders / 1st / 12th pick /2013,RAI,2013,2025-08-15 14:26:48
18,Andre Holmes,25,WR,10,4,210,6-4,Hillsdale,6/16/1988,1,3,,RAI,2013,2025-08-15 14:26:48
99,Lamarr Houston,26,LDE,16,16,274,6-3,Texas,6/24/1987,3,7,Oakland Raiders / 2nd / 44th pick /2010,RAI,2013,2025-08-15 14:26:48
93,Jason Hunter,30,RDE,13,10,270,6-4,Appalachian St.,8/28/1983,7,4,,RAI,2013,2025-08-15 14:26:48
11,Sebastian Janikowski,35,K,16,0,260,6-1,Florida St.,3/2/1978,13,1,Oakland Raiders / 1st / 17th pick /2000,RAI,2013,2025-08-15 14:26:48
10,Greg Jenkins,24,WR,6,0,208,6-1,"Mississippi Gulf Coast CC,Alabama St.",8/23/1989,Rook,0,,RAI,2013,2025-08-15 14:26:48
21,Mike Jenkins,28,LCB,15,15,200,6-0,South Florida,3/22/1985,5,5,Dallas Cowboys / 1st / 25th pick /2008,RAI,2013,2025-08-15 14:26:48
27,Rashad Jennings,28,RB,15,8,234,6-1,Liberty,3/26/1985,4,6,Jacksonville Jaguars / 7th / 250th pick /2009,RAI,2013,2025-08-15 14:26:48
42,Shelton Johnson,23,DB,4,0,197,6-0,Wisconsin,7/16/1990,Rook,0,,RAI,2013,2025-08-15 14:26:48
