No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
39,Husain Abdullah,26,FS,9,9,204,6-0,Washington St.,7/27/1985,3,2,,MIN,2011,2025-08-15 14:12:21
57,Xavier Adibi,27,LB,4,0,220,6-2,Virginia Tech,10/18/1984,3,0,Houston Texans / 4th / 118th pick /2008,MIN,2011,2025-08-15 14:12:21
21,Asher Allen,23,LCB,12,9,190,5-10,Georgia,1/22/1988,2,2,Minnesota Vikings / 3rd / 86th pick /2009,MIN,2011,2025-08-15 14:12:21
69,Jared Allen,29,RDE,16,16,270,6-6,Idaho St.,4/3/1982,7,14,Kansas City Chiefs / 4th / 126th pick /2004,MIN,2011,2025-08-15 14:12:21
16,Emmanuel Arceneaux,24,WR,3,0,215,6-2,Alcorn St.,9/17/1987,Rook,0,,MIN,2011,2025-08-15 14:12:21
19,Devin Aromashodu,27,WR,16,6,201,6-2,Auburn,5/23/1984,4,4,Miami Dolphins / 7th / 233rd pick /2006,MIN,2011,2025-08-15 14:12:21
67,Adrian Awasom,28,DE,1,0,280,6-5,North Texas,10/25/1983,6,0,,MIN,2011,2025-08-15 14:12:21
92,Remi Ayodele,28,LDT,16,13,318,6-2,Oklahoma,4/22/1983,4,4,,MIN,2011,2025-08-15 14:12:21
99,Christian Ballard,22,DT,16,2,298,6-4,Iowa,1/3/1989,Rook,1,Minnesota Vikings / 4th / 106th pick /2011,MIN,2011,2025-08-15 14:12:21
61,Joe Berger,29,RG,13,7,305,6-5,Michigan Tech,5/25/1982,6,4,Carolina Panthers / 6th / 207th pick /2005,MIN,2011,2025-08-15 14:12:21
87,Bernard Berrian,31,WR,5,1,185,6-1,Fresno St.,12/27/1980,7,1,Chicago Bears / 3rd / 78th pick /2004,MIN,2011,2025-08-15 14:12:21
27,Lorenzo Booker,27,RB,15,0,191,5-11,Florida St.,6/14/1984,4,1,Miami Dolphins / 3rd / 71st pick /2007,MIN,2011,2025-08-15 14:12:21
79,Patrick Brown,25,T,16,0,292,6-5,Central Florida,12/25/1986,Rook,1,,MIN,2011,2025-08-15 14:12:21
36,Brandon Burton,22,DB,10,1,185,6-0,Utah,7/31/1989,Rook,1,Minnesota Vikings / 5th / 139th pick /2011,MIN,2011,2025-08-15 14:12:21
86,Stephen Burton,22,WR,3,0,221,6-2,"Long Beach CC,West Texas A&M",12/11/1989,Rook,0,Minnesota Vikings / 7th / 236th pick /2011,MIN,2011,2025-08-15 14:12:21
85,Greg Camarillo,29,WR,13,0,200,6-2,Stanford,4/18/1982,5,1,,MIN,2011,2025-08-15 14:12:21
31,Chris Cook,24,DB,6,3,200,6-2,Virginia,2/15/1987,1,1,Minnesota Vikings / 2nd / 34th pick /2010,MIN,2011,2025-08-15 14:12:21
44,Ryan D'Imperio,24,LB,12,1,241,6-2,Rutgers,8/15/1987,Rook,0,Minnesota Vikings / 7th / 237th pick /2010,MIN,2011,2025-08-15 14:12:21
51,Larry Dean,23,LB,16,0,216,6-0,Valdosta St.,8/7/1988,Rook,1,,MIN,2011,2025-08-15 14:12:21
90,Fred Evans,28,DT,16,0,305,6-4,Texas St.,11/6/1983,5,1,Miami Dolphins / 7th / 212th pick /2006,MIN,2011,2025-08-15 14:12:21
37,Eric Frampton,27,DB,16,0,204,5-11,Washington St.,2/6/1984,4,1,Oakland Raiders / 5th / 165th pick /2007,MIN,2011,2025-08-15 14:12:21
63,Brandon Fusco,23,G,3,0,306,6-4,Slippery Rock,7/26/1988,Rook,0,Minnesota Vikings / 6th / 172nd pick /2011,MIN,2011,2025-08-15 14:12:21
32,Toby Gerhart,24,RB,16,5,234,6-0,Stanford,3/28/1987,1,5,Minnesota Vikings / 2nd / 51st pick /2010,MIN,2011,2025-08-15 14:12:21
52,Chad Greenway,28,LLB,16,16,237,6-3,Iowa,1/12/1983,4,8,Minnesota Vikings / 1st / 17th pick /2006,MIN,2011,2025-08-15 14:12:21
97,Everson Griffen,24,DE,16,0,273,6-3,USC,12/22/1987,1,2,Minnesota Vikings / 4th / 100th pick /2010,MIN,2011,2025-08-15 14:12:21
23,Cedric Griffin,29,RCB,16,14,195,6-0,Texas,11/11/1982,5,3,Minnesota Vikings / 2nd / 48th pick /2006,MIN,2011,2025-08-15 14:12:21
98,Letroy Guion,24,DT,16,3,295,6-4,Florida St.,6/21/1987,3,2,Minnesota Vikings / 5th / 152nd pick /2008,MIN,2011,2025-08-15 14:12:21
12,Percy Harvin,23,WR,16,14,200,5-11,Florida,5/28/1988,2,12,Minnesota Vikings / 1st / 22nd pick /2009,MIN,2011,2025-08-15 14:12:21
56,E.J. Henderson,31,MLB,16,14,245,6-1,Maryland,8/3/1980,8,6,Minnesota Vikings / 2nd / 40th pick /2003,MIN,2011,2025-08-15 14:12:21
50,Erin Henderson,25,RLB,15,11,242,6-3,Maryland,7/1/1986,3,4,,MIN,2011,2025-08-15 14:12:21
64,Anthony Herrera,31,RG,12,12,315,6-2,Tennessee,6/14/1980,6,6,,MIN,2011,2025-08-15 14:12:21
76,Steve Hutchinson,34,LG,14,14,313,6-5,Michigan,11/1/1977,10,7,Seattle Seahawks / 1st / 17th pick /2001,MIN,2011,2025-08-15 14:12:21
