No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
31,Maurice Alexander,24,SS,14,5,220,6-2,Utah St.,2/16/1991,1,3,St. Louis Rams / 4th / 110th pick /2014,RAM,2015,2025-08-15 14:29:04
11,Tavon Austin,25,WR,16,15,179,5-8,West Virginia,3/15/1990,2,7,St. Louis Rams / 1st / 8th pick /2013,RAM,2015,2025-08-15 14:29:04
56,Akeem Ayers,26,RLB,16,10,255,6-3,UCLA,7/10/1989,4,7,Tennessee Titans / 2nd / 39th pick /2011,RAM,2015,2025-08-15 14:29:04
12,Stedman Bailey,25,WR,8,3,193,5-10,West Virginia,11/11/1990,2,1,St. Louis Rams / 3rd / 92nd pick /2013,RAM,2015,2025-08-15 14:29:04
61,Tim Barnes,27,C,16,16,297,6-4,Missouri,5/14/1988,3,5,,RAM,2015,2025-08-15 14:29:04
26,Mark Barron,26,LLB,16,12,230,6-2,Alabama,10/27/1989,3,12,Tampa Bay Buccaneers / 1st / 7th pick /2012,RAM,2015,2025-08-15 14:29:04
53,Daren Bates,25,LB,15,0,225,5-11,Auburn,11/27/1990,2,1,,RAM,2015,2025-08-15 14:29:04
18,Kenny Britt,27,WR,16,14,230,6-3,Rutgers,9/19/1988,6,5,Tennessee Titans / 1st / 30th pick /2009,RAM,2015,2025-08-15 14:29:04
90,Michael Brockers,25,RDT,16,16,297,6-5,LSU,12/21/1990,3,8,St. Louis Rams / 1st / 14th pick /2012,RAM,2015,2025-08-15 14:29:04
68,Jamon Brown,22,LG,9,9,340,6-4,Louisville,3/15/1993,Rook,3,St. Louis Rams / 3rd / 72nd pick /2015,RAM,2015,2025-08-15 14:29:04
39,Malcolm Brown,22,RB,1,0,225,5-11,Texas,5/15/1993,Rook,0,,RAM,2015,2025-08-15 14:29:04
37,C.B. Bryant,23,DB,9,0,198,5-9,Ohio St.,3/21/1992,Rook,1,St. Louis Rams / 7th / 241st pick /2014,RAM,2015,2025-08-15 14:29:04
89,Jared Cook,28,TE,16,12,246,6-5,South Carolina,4/7/1987,6,4,Tennessee Titans / 3rd / 89th pick /2009,RAM,2015,2025-08-15 14:29:04
36,Benny Cunningham,25,RB,16,1,218,5-10,Middle Tenn. St.,7/7/1990,2,3,,RAM,2015,2025-08-15 14:29:04
48,Justice Cunningham,24,TE,2,0,258,6-3,South Carolina,1/14/1991,2,0,Indianapolis Colts / 7th / 254th pick /2013,RAM,2015,2025-08-15 14:29:04
38,Cody Davis,26,DB,16,0,205,6-2,Texas Tech,6/6/1989,2,1,,RAM,2015,2025-08-15 14:29:04
